cfg,trend_d,trend_p,trend_rr,trend_sl_atr,trend_tp_r,trend_time_stop,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00011_US_15_16_mg10_d0.25_p0.65_rr0.90_sl1.00_tp2.50_t45,0.25,0.65,0.9,1.0,2.5,45,US_15_16,"15,16",10,207,207,0,0.13526570048309178,-0.5265700483091778,0.39106145251396757,-108.9999999999998,-1.0,-1.0,2.4999999999999893,0.8647342995169082,0.13526570048309178,0.0,0.0
C00012_US_15_16_mg10_d0.25_p0.65_rr0.90_sl1.00_tp2.50_t60,0.25,0.65,0.9,1.0,2.5,60,US_15_16,"15,16",10,207,207,0,0.13526570048309178,-0.5265700483091778,0.39106145251396757,-108.9999999999998,-1.0,-1.0,2.4999999999999893,0.8647342995169082,0.13526570048309178,0.0,0.0
C00027_US_15_16_mg10_d0.30_p0.65_rr0.90_sl1.00_tp2.50_t45,0.3,0.65,0.9,1.0,2.5,45,US_15_16,"15,16",10,172,172,0,0.13372093023255813,-0.5319767441860452,0.3859060402684578,-91.49999999999977,-1.0,-1.0,2.4999999999999822,0.8662790697674418,0.13372093023255813,0.0,0.0
C00028_US_15_16_mg10_d0.30_p0.65_rr0.90_sl1.00_tp2.50_t60,0.3,0.65,0.9,1.0,2.5,60,US_15_16,"15,16",10,172,172,0,0.13372093023255813,-0.5319767441860452,0.3859060402684578,-91.49999999999977,-1.0,-1.0,2.4999999999999822,0.8662790697674418,0.13372093023255813,0.0,0.0
C00003_US_15_16_mg10_d0.25_p0.60_rr0.90_sl1.00_tp2.50_t45,0.25,0.6,0.9,1.0,2.5,45,US_15_16,"15,16",10,224,224,0,0.12946428571428573,-0.5468749999999991,0.3717948717948728,-122.4999999999998,-1.0,-1.0,2.499999999999982,0.8705357142857143,0.12946428571428573,0.0,0.0
C00004_US_15_16_mg10_d0.25_p0.60_rr0.90_sl1.00_tp2.50_t60,0.25,0.6,0.9,1.0,2.5,60,US_15_16,"15,16",10,224,224,0,0.12946428571428573,-0.5468749999999991,0.3717948717948728,-122.4999999999998,-1.0,-1.0,2.499999999999982,0.8705357142857143,0.12946428571428573,0.0,0.0
C00019_US_15_16_mg10_d0.30_p0.60_rr0.90_sl1.00_tp2.50_t45,0.3,0.6,0.9,1.0,2.5,45,US_15_16,"15,16",10,187,187,0,0.12834224598930483,-0.550802139037432,0.36809815950920377,-102.99999999999979,-1.0,-1.0,2.499999999999981,0.8716577540106952,0.12834224598930483,0.0,0.0
C00020_US_15_16_mg10_d0.30_p0.60_rr0.90_sl1.00_tp2.50_t60,0.3,0.6,0.9,1.0,2.5,60,US_15_16,"15,16",10,187,187,0,0.12834224598930483,-0.550802139037432,0.36809815950920377,-102.99999999999979,-1.0,-1.0,2.499999999999981,0.8716577540106952,0.12834224598930483,0.0,0.0
C00025_US_15_16_mg10_d0.30_p0.65_rr0.90_sl1.00_tp2.00_t45,0.3,0.65,0.9,1.0,2.0,45,US_15_16,"15,16",10,175,175,0,0.15428571428571428,-0.5371428571428571,0.36486486486486486,-94.0,-1.0,-1.0,2.0,0.8457142857142858,0.15428571428571428,0.0,0.0
C00026_US_15_16_mg10_d0.30_p0.65_rr0.90_sl1.00_tp2.00_t60,0.3,0.65,0.9,1.0,2.0,60,US_15_16,"15,16",10,175,175,0,0.15428571428571428,-0.5371428571428571,0.36486486486486486,-94.0,-1.0,-1.0,2.0,0.8457142857142858,0.15428571428571428,0.0,0.0
C00059_US_15_16_mg15_d0.30_p0.65_rr0.90_sl1.00_tp2.50_t45,0.3,0.65,0.9,1.0,2.5,45,US_15_16,"15,16",15,134,134,0,0.12686567164179105,-0.5559701492537322,0.3632478632478624,-74.50000000000011,-1.0,-1.0,2.4999999999999734,0.8731343283582089,0.12686567164179105,0.0,0.0
