cfg,tp_cp,tp1_fraction,mr_sl_atr,vol_filter_high,mr_time_stop,priority,mr_d,mr_rr,mr_cp_low,mr_cp_high,mr_mean_dist,mr_atr_pctl_max,trend_enabled,trend_d,trend_p,trend_rr,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00009_US_15_16_18_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_16_18,"15,16,18",5,1515,0,1515,0.20132013201320131,-0.11048935984738435,0.6264114604511118,-167.3913801687873,0.0,0.0,-0.11048935984738435,0.6264114604511118,-1.0,0.0,0.6357049309279986,0.3458745874587459,0.592079207920792,0.062046204620462043,0.0
C00012_US_15_16_18_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_16_18,"15,16,18",5,1515,0,1515,0.20132013201320131,-0.11048935984738435,0.6264114604511118,-167.3913801687873,0.0,0.0,-0.11048935984738435,0.6264114604511118,-1.0,0.0,0.6357049309279986,0.3458745874587459,0.592079207920792,0.062046204620462043,0.0
C00008_US_15_16_18_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.85_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.85,False,0.2,0.65,0.8,US_15_16_18,"15,16,18",5,1474,0,1474,0.20352781546811397,-0.11347227357841005,0.6163400268639035,-167.25813125457643,0.0,0.0,-0.11347227357841005,0.6163400268639035,-1.0,0.0,0.6473865663625019,0.3466757123473541,0.5909090909090909,0.06241519674355495,0.0
C00011_US_15_16_18_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.85_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.85,False,0.2,0.65,0.8,US_15_16_18,"15,16,18",5,1474,0,1474,0.20352781546811397,-0.11347227357841005,0.6163400268639035,-167.25813125457643,0.0,0.0,-0.11347227357841005,0.6163400268639035,-1.0,0.0,0.6473865663625019,0.3466757123473541,0.5909090909090909,0.06241519674355495,0.0
C00007_US_15_16_18_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.80_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.8,False,0.2,0.65,0.8,US_15_16_18,"15,16,18",5,1442,0,1442,0.20249653259361997,-0.11850168506759352,0.600436618294767,-170.87942986746987,0.0,0.0,-0.11850168506759352,0.600436618294767,-1.0,0.0,0.6413755706997557,0.34812760055478503,0.5901525658807212,0.06171983356449376,0.0
C00010_US_15_16_18_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.80_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.8,False,0.2,0.65,0.8,US_15_16_18,"15,16,18",5,1442,0,1442,0.20249653259361997,-0.11850168506759352,0.600436618294767,-170.87942986746987,0.0,0.0,-0.11850168506759352,0.600436618294767,-1.0,0.0,0.6413755706997557,0.34812760055478503,0.5901525658807212,0.06171983356449376,0.0
C00003_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3397,0,3397,0.19811598469237562,-0.14412411103807485,0.5370082265373405,-489.58960519634024,0.0,0.0,-0.14412411103807485,0.5370082265373405,-1.0,0.0,0.5801640460129696,0.35914041801589636,0.5813953488372093,0.05946423314689432,0.0
C00006_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3397,0,3397,0.19811598469237562,-0.14412411103807485,0.5370082265373405,-489.58960519634024,0.0,0.0,-0.14412411103807485,0.5370082265373405,-1.0,0.0,0.5801640460129696,0.35914041801589636,0.5813953488372093,0.05946423314689432,0.0
C00001_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.80_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.8,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3232,0,3232,0.19925742574257427,-0.14659363021427735,0.530022581017146,-473.7906128525444,0.0,0.0,-0.14659363021427735,0.530022581017146,-1.0,0.0,0.583372016984032,0.36014851485148514,0.5813737623762376,0.05847772277227723,0.0
C00004_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.80_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.8,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3232,0,3232,0.19925742574257427,-0.14659363021427735,0.530022581017146,-473.7906128525444,0.0,0.0,-0.14659363021427735,0.530022581017146,-1.0,0.0,0.583372016984032,0.36014851485148514,0.5813737623762376,0.05847772277227723,0.0
C00002_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.85_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.85,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3306,0,3306,0.1984271022383545,-0.1472900156853768,0.52914911434541,-486.9407918558557,0.0,0.0,-0.1472900156853768,0.52914911434541,-1.0,0.0,0.575398029928682,0.36085904416212944,0.5798548094373865,0.05928614640048397,0.0
C00005_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.85_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.85,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3306,0,3306,0.1984271022383545,-0.1472900156853768,0.52914911434541,-486.9407918558557,0.0,0.0,-0.1472900156853768,0.52914911434541,-1.0,0.0,0.575398029928682,0.36085904416212944,0.5798548094373865,0.05928614640048397,0.0
