cfg,tp_cp,tp1_fraction,mr_sl_atr,vol_filter_high,mr_time_stop,priority,mr_d,mr_rr,mr_cp_low,mr_cp_high,mr_mean_dist,mr_atr_pctl_max,trend_enabled,trend_d,trend_p,trend_rr,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00134_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3397,0,3397,0.19811598469237562,-0.14412411103807485,0.5370082265373405,-489.58960519634024,0.0,0.0,-0.14412411103807485,0.5370082265373405,-1.0,0.0,0.5801640460129696,0.35914041801589636,0.5813953488372093,0.05946423314689432,0.0
C00161_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3397,0,3397,0.19811598469237562,-0.14412411103807485,0.5370082265373405,-489.58960519634024,0.0,0.0,-0.14412411103807485,0.5370082265373405,-1.0,0.0,0.5801640460129696,0.35914041801589636,0.5813953488372093,0.05946423314689432,0.0
C00125_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3910,0,3910,0.19974424552429668,-0.14313224239921318,0.5363810548571476,-559.6470677809235,0.0,0.0,-0.14313224239921318,0.5363810548571476,-1.0,0.0,0.584258326315289,0.3593350383631714,0.5820971867007673,0.058567774936061384,0.0
C00152_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3910,0,3910,0.19974424552429668,-0.14313224239921318,0.5363810548571476,-559.6470677809235,0.0,0.0,-0.14313224239921318,0.5363810548571476,-1.0,0.0,0.584258326315289,0.3593350383631714,0.5820971867007673,0.058567774936061384,0.0
C00080_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3397,0,3397,0.19811598469237562,-0.14438932384345493,0.5354756220869947,-490.49053309621644,0.0,0.0,-0.14438932384345493,0.5354756220869947,-1.0,0.0,0.5718820320576463,0.35914041801589636,0.5813953488372093,0.05946423314689432,0.0
C00107_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3397,0,3397,0.19811598469237562,-0.14438932384345493,0.5354756220869947,-490.49053309621644,0.0,0.0,-0.14438932384345493,0.5354756220869947,-1.0,0.0,0.5718820320576463,0.35914041801589636,0.5813953488372093,0.05946423314689432,0.0
C00071_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3910,0,3910,0.19974424552429668,-0.1433240075540178,0.5350595456999967,-560.3968695362096,0.0,0.0,-0.1433240075540178,0.5350595456999967,-1.0,0.0,0.5794801900182966,0.3593350383631714,0.5820971867007673,0.058567774936061384,0.0
C00098_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3910,0,3910,0.19974424552429668,-0.1433240075540178,0.5350595456999967,-560.3968695362096,0.0,0.0,-0.1433240075540178,0.5350595456999967,-1.0,0.0,0.5794801900182966,0.3593350383631714,0.5820971867007673,0.058567774936061384,0.0
C00026_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3397,0,3397,0.19811598469237562,-0.1446545366488351,0.5339385132933521,-491.39146099609286,0.0,0.0,-0.1446545366488351,0.5339385132933521,-1.0,0.0,0.5681103287004872,0.35914041801589636,0.5813953488372093,0.05946423314689432,0.0
C00053_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3397,0,3397,0.19811598469237562,-0.1446545366488351,0.5339385132933521,-491.39146099609286,0.0,0.0,-0.1446545366488351,0.5339385132933521,-1.0,0.0,0.5681103287004872,0.35914041801589636,0.5813953488372093,0.05946423314689432,0.0
C00017_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3910,0,3910,0.19974424552429668,-0.14351577270882243,0.5337340431984353,-561.1466712914957,0.0,0.0,-0.14351577270882243,0.5337340431984353,-1.0,0.0,0.5745428238971454,0.3593350383631714,0.5820971867007673,0.058567774936061384,0.0
C00044_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,3910,0,3910,0.19974424552429668,-0.14351577270882243,0.5337340431984353,-561.1466712914957,0.0,0.0,-0.14351577270882243,0.5337340431984353,-1.0,0.0,0.5745428238971454,0.3593350383631714,0.5820971867007673,0.058567774936061384,0.0
