tf,line,start_ts,end_ts,length_bars,value,duration_days
MN1,kijun,2022-12-31 00:00:00,2023-11-30 00:00:00,12,42320.95,334.0
MN1,kijun,2024-02-29 00:00:00,2024-09-30 00:00:00,8,44662.299999999996,214.0
MN1,kijun,2021-10-31 00:00:00,2022-03-31 00:00:00,6,36410.255,151.0
MN1,ssb,2025-09-30 00:00:00,2026-01-31 00:00:00,5,70825.85,123.0
MN1,ssb,2024-02-29 00:00:00,2024-05-31 00:00:00,4,38751.604999999996,92.0
W1,kijun,2020-03-23 00:00:00,2020-07-20 00:00:00,18,7080.905,119.0
W1,kijun,2022-01-24 00:00:00,2022-05-02 00:00:00,15,51026.265,98.0
W1,kijun,2021-07-05 00:00:00,2021-10-04 00:00:00,14,46837.055,91.0
W1,kijun,2022-06-27 00:00:00,2022-09-19 00:00:00,13,32896.6,84.0
W1,kijun,2025-11-17 00:00:00,2026-01-19 00:00:00,10,103404.25,63.0
W1,kijun,2022-12-12 00:00:00,2023-02-06 00:00:00,9,20321.6,56.0
W1,kijun,2023-07-10 00:00:00,2023-08-28 00:00:00,8,25685.8,49.0
W1,kijun,2024-05-27 00:00:00,2024-07-15 00:00:00,8,56213.2,49.0
W1,kijun,2025-05-19 00:00:00,2025-06-30 00:00:00,7,93208.25,42.0
W1,kijun,2025-08-11 00:00:00,2025-09-22 00:00:00,7,99501.3,42.0
W1,kijun,2023-04-10 00:00:00,2023-05-15 00:00:00,6,23251.1,35.0
W1,kijun,2023-09-11 00:00:00,2023-10-16 00:00:00,6,28215.5,35.0
W1,kijun,2021-11-15 00:00:00,2021-12-13 00:00:00,5,48989.354999999996,28.0
W1,kijun,2024-01-08 00:00:00,2024-02-05 00:00:00,5,36804.25,28.0
W1,kijun,2024-12-16 00:00:00,2025-01-13 00:00:00,5,78627.4,28.0
W1,kijun,2021-12-20 00:00:00,2022-01-10 00:00:00,4,49220.47,21.0
W1,kijun,2023-12-04 00:00:00,2023-12-25 00:00:00,4,34680.15,21.0
W1,kijun,2024-08-12 00:00:00,2024-09-02 00:00:00,4,61384.7,21.0
W1,kijun,2024-09-09 00:00:00,2024-09-30 00:00:00,4,60889.2,21.0
W1,kijun,2025-02-03 00:00:00,2025-02-24 00:00:00,4,81255.4,21.0
W1,kijun,2025-07-14 00:00:00,2025-08-04 00:00:00,4,98878.5,21.0
W1,kijun,2020-07-27 00:00:00,2020-08-10 00:00:00,3,7888.03,14.0
W1,kijun,2020-08-17 00:00:00,2020-08-31 00:00:00,3,8060.615,14.0
W1,kijun,2021-01-18 00:00:00,2021-02-01 00:00:00,3,25967.045000000002,14.0
W1,kijun,2021-10-18 00:00:00,2021-11-01 00:00:00,3,47919.0,14.0
W1,kijun,2023-02-20 00:00:00,2023-03-06 00:00:00,3,20395.4,14.0
W1,kijun,2023-05-29 00:00:00,2023-06-12 00:00:00,3,23634.5,14.0
W1,kijun,2023-11-06 00:00:00,2023-11-20 00:00:00,3,31540.45,14.0
W1,kijun,2024-10-07 00:00:00,2024-10-21 00:00:00,3,60516.0,14.0
W1,kijun,2025-03-17 00:00:00,2025-03-31 00:00:00,3,84450.0,14.0
W1,ssb,2024-03-11 00:00:00,2024-08-05 00:00:00,22,49231.2,147.0
W1,ssb,2022-06-13 00:00:00,2022-10-31 00:00:00,21,43395.95,140.0
W1,ssb,2022-01-03 00:00:00,2022-05-02 00:00:00,18,48943.35,119.0
W1,ssb,2023-07-10 00:00:00,2023-10-16 00:00:00,15,23646.6,98.0
W1,ssb,2025-02-10 00:00:00,2025-05-12 00:00:00,14,79444.0,91.0
W1,ssb,2022-12-26 00:00:00,2023-03-20 00:00:00,13,31821.6,84.0
W1,ssb,2025-11-03 00:00:00,2026-01-26 00:00:00,13,100332.75,84.0
W1,ssb,2025-05-19 00:00:00,2025-06-30 00:00:00,7,80423.75,42.0
W1,ssb,2021-07-19 00:00:00,2021-08-23 00:00:00,6,37397.345,35.0
W1,ssb,2021-01-04 00:00:00,2021-02-01 00:00:00,5,22873.66,28.0
W1,ssb,2024-01-08 00:00:00,2024-02-05 00:00:00,5,34274.55,28.0
W1,ssb,2024-12-16 00:00:00,2025-01-13 00:00:00,5,73455.9,28.0
W1,ssb,2020-09-21 00:00:00,2020-10-12 00:00:00,4,8060.615,21.0
W1,ssb,2021-05-24 00:00:00,2021-06-14 00:00:00,4,36901.255,21.0
W1,ssb,2022-05-09 00:00:00,2022-05-30 00:00:00,4,47914.85,21.0
W1,ssb,2022-11-28 00:00:00,2022-12-19 00:00:00,4,33788.6,21.0
W1,ssb,2024-08-12 00:00:00,2024-09-02 00:00:00,4,49384.7,21.0
W1,ssb,2021-02-15 00:00:00,2021-03-01 00:00:00,3,31046.975,14.0
W1,ssb,2023-05-08 00:00:00,2023-05-22 00:00:00,3,23935.35,14.0
W1,ssb,2025-07-14 00:00:00,2025-07-28 00:00:00,3,86094.0,14.0
W1,ssb,2025-08-11 00:00:00,2025-08-25 00:00:00,3,88528.20000000001,14.0
D1,kijun,2019-10-26 00:00:00,2019-11-17 00:00:00,23,8790.619999999999,22.0
D1,kijun,2025-10-10 00:00:00,2025-10-31 00:00:00,22,113862.5,21.0
D1,kijun,2021-06-22 00:00:00,2021-07-10 00:00:00,19,35096.505,18.0
