tf,line,start_ts,end_ts,length_bars,value,duration_days
D1,kijun,2019-10-26,2019-11-17,23,8790.619999999999,22.0
D1,kijun,2025-10-10,2025-10-31,22,113862.5,21.0
D1,kijun,2021-06-22,2021-07-10,19,35096.505,18.0
D1,kijun,2021-07-26,2021-08-13,19,38705.42,18.0
D1,kijun,2024-08-05,2024-08-23,19,59484.5,18.0
D1,kijun,2025-01-20,2025-02-07,19,99454.5,18.0
D1,kijun,2022-09-21,2022-10-08,18,20467.15,17.0
D1,kijun,2021-05-19,2021-06-04,17,44171.0,16.0
D1,kijun,2023-02-21,2023-03-08,16,23342.8,15.0
D1,kijun,2023-04-24,2023-05-09,16,28989.15,15.0
D1,kijun,2023-08-18,2023-09-02,16,27415.5,15.0
D1,kijun,2021-04-25,2021-05-09,15,55958.270000000004,14.0
D1,kijun,2022-12-25,2023-01-08,15,17305.0,14.0
D1,kijun,2020-09-13,2020-09-26,14,10934.825,13.0
D1,kijun,2021-09-07,2021-09-20,14,47519.0,13.0
D1,kijun,2022-03-08,2022-03-21,14,39826.85,13.0
D1,kijun,2024-01-23,2024-02-05,14,43786.25,13.0
D1,kijun,2024-09-06,2024-09-19,14,58843.100000000006,13.0
D1,kijun,2024-12-17,2024-12-30,14,99283.4,13.0
D1,kijun,2020-06-07,2020-06-19,13,9560.314999999999,12.0
D1,kijun,2021-03-13,2021-03-25,13,52476.025,12.0
D1,kijun,2022-10-13,2022-10-25,13,19208.9,12.0
D1,kijun,2023-06-23,2023-07-05,13,28138.5,12.0
D1,kijun,2025-06-22,2025-07-04,13,104384.5,12.0
D1,kijun,2021-09-21,2021-10-02,12,46226.79,11.0
D1,kijun,2022-02-24,2022-03-07,12,40075.6,11.0
D1,kijun,2022-11-09,2022-11-20,12,18468.15,11.0
D1,kijun,2023-09-12,2023-09-23,12,26528.0,11.0
D1,kijun,2025-04-07,2025-04-18,12,81604.5,11.0
D1,kijun,2025-06-05,2025-06-16,12,106132.3,11.0
D1,kijun,2020-07-07,2020-07-17,11,9305.7,10.0
D1,kijun,2022-01-10,2022-01-20,11,45872.0,10.0
D1,kijun,2024-04-19,2024-04-29,11,66215.7,10.0
D1,kijun,2020-03-23,2020-04-01,10,6412.905,9.0
D1,kijun,2022-11-21,2022-11-30,10,18458.45,9.0
D1,kijun,2020-01-19,2020-01-27,9,8034.369999999999,8.0
D1,kijun,2020-08-02,2020-08-10,9,10599.135,8.0
D1,kijun,2022-02-10,2022-02-18,9,39350.665,8.0
D1,kijun,2022-07-30,2022-08-07,9,21800.5,8.0
D1,kijun,2022-08-28,2022-09-05,9,22354.0,8.0
D1,kijun,2023-10-24,2023-11-01,9,31253.45,8.0
D1,kijun,2024-03-31,2024-04-08,9,67340.7,8.0
D1,kijun,2024-06-24,2024-07-02,9,65181.0,8.0
D1,kijun,2024-12-31,2025-01-08,9,99938.4,8.0
D1,kijun,2025-09-18,2025-09-26,9,112543.35,8.0
D1,kijun,2025-12-18,2025-12-26,9,89170.5,8.0
D1,kijun,2020-06-28,2020-07-05,8,9416.195,7.0
D1,kijun,2021-08-23,2021-08-30,8,43945.5,7.0
D1,kijun,2021-11-10,2021-11-17,8,63374.35,7.0
D1,kijun,2022-06-18,2022-06-25,8,25010.35,7.0
D1,kijun,2023-03-22,2023-03-29,8,24201.3,7.0
D1,kijun,2023-04-14,2023-04-21,8,28769.5,7.0
D1,kijun,2023-07-24,2023-07-31,8,30340.0,7.0
D1,kijun,2024-01-11,2024-01-18,8,44680.25,7.0
D1,kijun,2024-05-09,2024-05-16,8,61879.85,7.0
D1,kijun,2024-11-22,2024-11-29,8,83235.0,7.0
D1,kijun,2025-03-11,2025-03-18,8,87995.75,7.0
D1,kijun,2025-07-20,2025-07-27,8,114155.0,7.0
D1,kijun,2025-08-14,2025-08-21,8,118197.8,7.0
D1,kijun,2025-09-01,2025-09-08,8,115878.55,7.0
D1,kijun,2025-11-05,2025-11-12,8,107634.5,7.0
D1,kijun,2025-11-29,2025-12-06,8,94036.85,7.0
D1,kijun,2025-12-27,2026-01-03,8,89481.8,7.0
D1,kijun,2026-01-05,2026-01-12,8,89584.45000000001,7.0
D1,kijun,2019-12-18,2019-12-24,7,7138.5,6.0
D1,kijun,2019-12-30,2020-01-05,7,7059.0,6.0
D1,kijun,2020-03-01,2020-03-07,7,9474.5,6.0
D1,kijun,2020-04-30,2020-05-06,7,7972.55,6.0
D1,kijun,2020-05-25,2020-05-31,7,9010.0,6.0
D1,kijun,2020-09-05,2020-09-11,7,11154.0,6.0
D1,kijun,2020-10-12,2020-10-18,7,10932.105,6.0
D1,kijun,2021-03-06,2021-03-12,7,50737.095,6.0
D1,kijun,2022-01-31,2022-02-06,7,38625.255000000005,6.0
D1,kijun,2022-04-11,2022-04-17,7,43668.35,6.0
D1,kijun,2023-05-15,2023-05-21,7,27899.6,6.0
D1,kijun,2023-08-01,2023-08-07,7,30200.0,6.0
D1,kijun,2023-10-09,2023-10-15,7,27289.0,6.0
D1,kijun,2024-05-29,2024-06-04,7,66125.1,6.0
D1,kijun,2024-10-21,2024-10-27,7,64233.0,6.0
D1,kijun,2024-10-29,2024-11-04,7,66280.0,6.0
D1,kijun,2025-02-08,2025-02-14,7,100565.15,6.0
D1,kijun,2020-02-13,2020-02-18,6,9393.5,5.0
D1,kijun,2020-08-22,2020-08-27,6,11494.71,5.0
D1,kijun,2021-06-16,2021-06-21,6,36191.0,5.0
D1,kijun,2021-12-30,2022-01-04,6,48753.555,5.0
D1,kijun,2022-04-02,2022-04-07,6,42850.0,5.0
D1,kijun,2022-05-24,2022-05-29,6,33351.35,5.0
D1,kijun,2022-07-20,2022-07-25,6,21420.0,5.0
D1,kijun,2022-08-15,2022-08-20,6,22944.8,5.0
D1,kijun,2022-10-29,2022-11-03,6,19502.9,5.0
D1,kijun,2022-12-07,2022-12-12,6,16436.6,5.0
D1,kijun,2022-12-18,2022-12-23,6,17192.05,5.0
D1,kijun,2023-03-30,2023-04-04,6,24353.199999999997,5.0
D1,kijun,2023-05-26,2023-05-31,6,27795.5,5.0
D1,kijun,2023-06-15,2023-06-20,6,26609.5,5.0
D1,kijun,2023-07-18,2023-07-23,6,30625.0,5.0
D1,kijun,2023-12-12,2023-12-17,6,40195.0,5.0
D1,kijun,2024-03-14,2024-03-19,6,62197.049999999996,5.0
D1,kijun,2024-03-25,2024-03-30,6,66496.7,5.0
D1,kijun,2024-05-21,2024-05-26,6,64335.25,5.0
D1,kijun,2025-02-19,2025-02-24,6,98790.15,5.0
D1,kijun,2025-03-22,2025-03-27,6,85765.5,5.0
D1,kijun,2025-04-25,2025-04-30,6,85113.3,5.0
D1,kijun,2025-05-26,2025-05-31,6,102643.25,5.0
D1,kijun,2019-11-25,2019-11-29,5,8030.094999999999,4.0
D1,kijun,2019-12-25,2019-12-29,5,7113.5,4.0
D1,kijun,2020-01-08,2020-01-12,5,7447.71,4.0
D1,kijun,2020-04-18,2020-04-22,5,6653.5,4.0
D1,kijun,2020-05-07,2020-05-11,5,8272.665,4.0
D1,kijun,2020-06-22,2020-06-26,5,9692.84,4.0
D1,kijun,2020-10-05,2020-10-09,5,10654.605,4.0
D1,kijun,2021-01-25,2021-01-29,5,34962.755000000005,4.0
D1,kijun,2021-04-03,2021-04-07,5,56201.04,4.0
D1,kijun,2021-04-18,2021-04-22,5,57518.055,4.0
D1,kijun,2021-07-20,2021-07-24,5,32932.62,4.0
D1,kijun,2021-10-20,2021-10-24,5,53929.365000000005,4.0
D1,kijun,2021-11-28,2021-12-02,5,61221.85,4.0
D1,kijun,2021-12-06,2021-12-10,5,53641.97,4.0
D1,kijun,2021-12-21,2021-12-25,5,50056.94,4.0
D1,kijun,2022-03-28,2022-04-01,5,42667.0,4.0
D1,kijun,2022-04-18,2022-04-22,5,43332.85,4.0
D1,kijun,2022-05-12,2022-05-16,5,34798.5,4.0
D1,kijun,2022-05-17,2022-05-21,5,33715.5,4.0
D1,kijun,2022-06-07,2022-06-11,5,30189.8,4.0
D1,kijun,2022-06-27,2022-07-01,5,24686.6,4.0
D1,kijun,2022-08-21,2022-08-25,5,22971.45,4.0
D1,kijun,2022-09-14,2022-09-18,5,20675.0,4.0
D1,kijun,2023-02-16,2023-02-20,5,23314.0,4.0
D1,kijun,2023-07-06,2023-07-10,5,28172.5,4.0
D1,kijun,2023-09-26,2023-09-30,5,26184.0,4.0
D1,kijun,2023-10-02,2023-10-06,5,26750.5,4.0
D1,kijun,2023-10-16,2023-10-20,5,28342.5,4.0
D1,kijun,2023-12-18,2023-12-22,5,40739.65,4.0
D1,kijun,2024-07-22,2024-07-26,5,60894.6,4.0
D1,kijun,2024-09-27,2024-10-01,5,59480.4,4.0
D1,kijun,2024-11-13,2024-11-17,5,79321.70000000001,4.0
D1,kijun,2025-03-05,2025-03-09,5,88815.85,4.0
D1,kijun,2026-01-14,2026-01-18,5,92143.55,4.0
D1,kijun,2020-03-16,2020-03-19,4,6820.355,3.0
D1,kijun,2020-05-12,2020-05-15,4,8407.975,3.0
