tf,line,start_ts,end_ts,length_bars,value,duration_days
H4,kijun,2019-12-04 08:00:00,2019-12-08 12:00:00,26,7435.0,4.166666666666667
H4,kijun,2020-08-02 04:00:00,2020-08-06 08:00:00,26,11322.125,4.166666666666667
H4,kijun,2020-02-19 20:00:00,2020-02-23 20:00:00,25,9789.535,4.0
H4,kijun,2019-12-18 20:00:00,2019-12-22 16:00:00,24,6953.495,3.8333333333333335
H4,kijun,2022-09-22 00:00:00,2022-09-25 20:00:00,24,19119.199999999997,3.8333333333333335
H4,kijun,2023-03-23 00:00:00,2023-03-26 20:00:00,24,27735.5,3.8333333333333335
H4,kijun,2021-09-07 12:00:00,2021-09-11 04:00:00,23,47519.0,3.6666666666666665
H4,kijun,2022-09-28 00:00:00,2022-10-01 16:00:00,23,19417.5,3.6666666666666665
H4,kijun,2022-10-14 00:00:00,2022-10-17 16:00:00,23,18932.85,3.6666666666666665
H4,kijun,2023-08-02 00:00:00,2023-08-05 16:00:00,23,29304.95,3.6666666666666665
H4,kijun,2020-06-02 12:00:00,2020-06-06 00:00:00,22,9880.7,3.5
H4,kijun,2020-12-21 12:00:00,2020-12-25 00:00:00,22,23148.0,3.5
H4,kijun,2022-06-07 00:00:00,2022-06-10 12:00:00,22,30485.0,3.5
H4,kijun,2023-07-07 00:00:00,2023-07-10 12:00:00,22,30624.0,3.5
H4,kijun,2020-01-19 20:00:00,2020-01-23 04:00:00,21,8823.105,3.3333333333333335
H4,kijun,2020-06-16 00:00:00,2020-06-19 08:00:00,21,9241.715,3.3333333333333335
H4,kijun,2022-04-26 20:00:00,2022-04-30 04:00:00,21,39235.9,3.3333333333333335
H4,kijun,2023-08-23 16:00:00,2023-08-27 00:00:00,21,26043.0,3.3333333333333335
H4,kijun,2024-12-05 20:00:00,2024-12-09 04:00:00,21,97415.2,3.3333333333333335
H4,kijun,2025-05-13 00:00:00,2025-05-16 08:00:00,21,103270.55,3.3333333333333335
H4,kijun,2020-06-11 16:00:00,2020-06-14 20:00:00,20,9535.529999999999,3.1666666666666665
H4,kijun,2021-12-13 16:00:00,2021-12-16 20:00:00,20,48184.0,3.1666666666666665
H4,kijun,2022-12-20 20:00:00,2022-12-24 00:00:00,20,16629.8,3.1666666666666665
H4,kijun,2023-07-24 16:00:00,2023-07-27 20:00:00,20,29599.1,3.1666666666666665
H4,kijun,2024-06-07 16:00:00,2024-06-10 20:00:00,20,70274.5,3.1666666666666665
H4,kijun,2020-07-02 16:00:00,2020-07-05 16:00:00,19,9114.5,3.0
H4,kijun,2020-11-26 16:00:00,2020-11-29 16:00:00,19,17867.595,3.0
H4,kijun,2023-06-30 12:00:00,2023-07-03 12:00:00,19,30400.0,3.0
H4,kijun,2023-08-08 20:00:00,2023-08-11 20:00:00,19,29466.15,3.0
H4,kijun,2023-09-07 20:00:00,2023-09-10 20:00:00,19,25888.5,3.0
H4,kijun,2023-11-15 20:00:00,2023-11-18 20:00:00,19,36223.15,3.0
H4,kijun,2024-01-03 12:00:00,2024-01-06 12:00:00,19,43141.5,3.0
H4,kijun,2025-01-21 04:00:00,2025-01-24 04:00:00,19,104750.5,3.0
H4,kijun,2025-04-03 12:00:00,2025-04-06 12:00:00,19,84836.1,3.0
H4,kijun,2020-08-25 16:00:00,2020-08-28 12:00:00,18,11480.98,2.8333333333333335
H4,kijun,2021-11-02 12:00:00,2021-11-05 08:00:00,18,61874.775,2.8333333333333335
H4,kijun,2023-05-01 20:00:00,2023-05-04 16:00:00,18,28800.0,2.8333333333333335
H4,kijun,2023-07-14 16:00:00,2023-07-17 12:00:00,18,30863.3,2.8333333333333335
H4,kijun,2024-01-12 20:00:00,2024-01-15 16:00:00,18,45198.75,2.8333333333333335
H4,kijun,2024-05-01 08:00:00,2024-05-04 04:00:00,18,60618.85,2.8333333333333335
H4,kijun,2024-08-15 20:00:00,2024-08-18 16:00:00,18,58904.35,2.8333333333333335
H4,kijun,2025-06-17 16:00:00,2025-06-20 12:00:00,18,106100.0,2.8333333333333335
H4,kijun,2025-07-15 12:00:00,2025-07-18 08:00:00,18,119489.05,2.8333333333333335
H4,kijun,2025-12-18 20:00:00,2025-12-21 16:00:00,18,87385.9,2.8333333333333335
H4,kijun,2020-10-02 20:00:00,2020-10-05 12:00:00,17,10653.085,2.6666666666666665
H4,kijun,2022-10-30 00:00:00,2022-11-01 16:00:00,17,20519.5,2.6666666666666665
H4,kijun,2022-11-05 00:00:00,2022-11-07 16:00:00,17,20749.85,2.6666666666666665
H4,kijun,2023-04-05 08:00:00,2023-04-08 00:00:00,17,27983.0,2.6666666666666665
H4,kijun,2024-03-05 16:00:00,2024-03-08 08:00:00,17,64231.0,2.6666666666666665
H4,kijun,2024-09-27 12:00:00,2024-09-30 04:00:00,17,64542.2,2.6666666666666665
H4,kijun,2025-03-20 00:00:00,2025-03-22 16:00:00,17,84306.75,2.6666666666666665
H4,kijun,2025-07-03 12:00:00,2025-07-06 04:00:00,17,107747.0,2.6666666666666665
H4,kijun,2021-02-23 08:00:00,2021-02-25 20:00:00,16,51682.979999999996,2.5
H4,kijun,2021-05-05 00:00:00,2021-05-07 12:00:00,16,55968.485,2.5
H4,kijun,2021-08-14 08:00:00,2021-08-16 20:00:00,16,46050.0,2.5
H4,kijun,2021-11-23 08:00:00,2021-11-25 20:00:00,16,57651.41,2.5
H4,kijun,2021-12-17 12:00:00,2021-12-20 00:00:00,16,47426.43,2.5
H4,kijun,2022-01-02 00:00:00,2022-01-04 12:00:00,16,47112.5,2.5
H4,kijun,2022-03-09 12:00:00,2022-03-12 00:00:00,16,39890.75,2.5
H4,kijun,2022-08-05 04:00:00,2022-08-07 16:00:00,16,23010.0,2.5
H4,kijun,2022-08-11 12:00:00,2022-08-14 00:00:00,16,23790.0,2.5
H4,kijun,2022-11-15 20:00:00,2022-11-18 08:00:00,16,16496.75,2.5
H4,kijun,2023-03-03 00:00:00,2023-03-05 12:00:00,16,22952.95,2.5
H4,kijun,2023-06-06 12:00:00,2023-06-09 00:00:00,16,26390.8,2.5
H4,kijun,2023-10-08 04:00:00,2023-10-10 16:00:00,16,27803.0,2.5
H4,kijun,2024-06-12 00:00:00,2024-06-14 12:00:00,16,68111.35,2.5
