tf,line,start_ts,end_ts,length_bars,value,duration_days
M30,kijun,2020-06-09 00:00:00,2020-06-09 12:30:00,26,9720.015,0.5208333333333334
M30,kijun,2020-06-10 18:30:00,2020-06-11 07:00:00,26,9848.599999999999,0.5208333333333334
M30,kijun,2022-12-21 14:30:00,2022-12-22 03:00:00,26,16809.2,0.5208333333333334
M30,kijun,2022-12-23 13:30:00,2022-12-24 02:00:00,26,16825.0,0.5208333333333334
M30,kijun,2024-01-09 21:00:00,2024-01-10 09:30:00,26,46258.6,0.5208333333333334
M30,kijun,2019-10-15 16:00:00,2019-10-16 04:00:00,25,8229.255000000001,0.5
M30,kijun,2019-10-19 12:30:00,2019-10-20 00:30:00,25,7980.33,0.5
M30,kijun,2020-04-25 16:00:00,2020-04-26 04:00:00,25,7595.3150000000005,0.5
M30,kijun,2020-06-13 20:00:00,2020-06-14 08:00:00,25,9418.925,0.5
M30,kijun,2020-08-02 04:30:00,2020-08-02 16:30:00,25,11322.125,0.5
M30,kijun,2020-09-08 22:30:00,2020-09-09 10:30:00,25,10041.695,0.5
M30,kijun,2020-10-17 15:00:00,2020-10-18 03:00:00,25,11337.045,0.5
M30,kijun,2021-09-13 14:00:00,2021-09-14 02:00:00,25,45128.91,0.5
M30,kijun,2022-04-15 14:30:00,2022-04-16 02:30:00,25,40368.6,0.5
M30,kijun,2022-06-04 14:30:00,2022-06-05 02:30:00,25,29722.0,0.5
M30,kijun,2023-03-30 03:00:00,2023-03-30 15:00:00,25,28625.4,0.5
M30,kijun,2023-05-19 15:30:00,2023-05-20 03:30:00,25,26895.6,0.5
M30,kijun,2023-06-10 18:00:00,2023-06-11 06:00:00,25,25722.0,0.5
M30,kijun,2023-08-25 14:30:00,2023-08-26 02:30:00,25,26027.2,0.5
M30,kijun,2023-09-06 17:30:00,2023-09-07 05:30:00,25,25689.0,0.5
M30,kijun,2023-09-20 19:00:00,2023-09-21 07:00:00,25,27018.95,0.5
M30,kijun,2024-03-08 16:00:00,2024-03-09 04:00:00,25,68225.4,0.5
M30,kijun,2019-10-21 16:00:00,2019-10-22 03:30:00,24,8242.285,0.4791666666666667
M30,kijun,2020-05-07 00:00:00,2020-05-07 11:30:00,24,9213.5,0.4791666666666667
M30,kijun,2020-06-08 09:00:00,2020-06-08 20:30:00,24,9723.5,0.4791666666666667
M30,kijun,2020-11-18 05:30:00,2020-11-18 17:00:00,24,17867.515,0.4791666666666667
M30,kijun,2021-11-17 11:30:00,2021-11-17 23:00:00,24,59592.765,0.4791666666666667
M30,kijun,2023-03-07 16:00:00,2023-03-08 03:30:00,24,22195.3,0.4791666666666667
M30,kijun,2024-09-12 14:30:00,2024-09-13 02:00:00,24,57958.3,0.4791666666666667
M30,kijun,2024-10-15 15:00:00,2024-10-16 02:30:00,24,66362.7,0.4791666666666667
M30,kijun,2025-04-14 15:30:00,2025-04-15 03:00:00,24,84711.95,0.4791666666666667
M30,kijun,2025-04-19 16:30:00,2025-04-20 04:00:00,24,85106.75,0.4791666666666667
