tf,line,start_ts,end_ts,length_bars,value,duration_days
W1,kijun,2020-03-23,2020-07-20,18,7080.905,119.0
W1,kijun,2022-01-24,2022-05-02,15,51026.265,98.0
W1,kijun,2021-07-05,2021-10-04,14,46837.055,91.0
W1,kijun,2022-06-27,2022-09-19,13,32896.6,84.0
W1,kijun,2025-11-17,2026-01-19,10,103404.25,63.0
W1,kijun,2022-12-12,2023-02-06,9,20321.6,56.0
W1,kijun,2023-07-10,2023-08-28,8,25685.8,49.0
W1,kijun,2024-05-27,2024-07-15,8,56213.2,49.0
W1,kijun,2025-05-19,2025-06-30,7,93208.25,42.0
W1,kijun,2025-08-11,2025-09-22,7,99501.3,42.0
W1,kijun,2023-04-10,2023-05-15,6,23251.1,35.0
W1,kijun,2023-09-11,2023-10-16,6,28215.5,35.0
W1,kijun,2021-11-15,2021-12-13,5,48989.354999999996,28.0
W1,kijun,2024-01-08,2024-02-05,5,36804.25,28.0
W1,kijun,2024-12-16,2025-01-13,5,78627.4,28.0
W1,kijun,2021-12-20,2022-01-10,4,49220.47,21.0
W1,kijun,2023-12-04,2023-12-25,4,34680.15,21.0
W1,kijun,2024-08-12,2024-09-02,4,61384.7,21.0
W1,kijun,2024-09-09,2024-09-30,4,60889.2,21.0
W1,kijun,2025-02-03,2025-02-24,4,81255.4,21.0
W1,kijun,2025-07-14,2025-08-04,4,98878.5,21.0
W1,kijun,2020-07-27,2020-08-10,3,7888.03,14.0
W1,kijun,2020-08-17,2020-08-31,3,8060.615,14.0
W1,kijun,2021-01-18,2021-02-01,3,25967.045000000002,14.0
W1,kijun,2021-10-18,2021-11-01,3,47919.0,14.0
W1,kijun,2023-02-20,2023-03-06,3,20395.4,14.0
W1,kijun,2023-05-29,2023-06-12,3,23634.5,14.0
W1,kijun,2023-11-06,2023-11-20,3,31540.45,14.0
W1,kijun,2024-10-07,2024-10-21,3,60516.0,14.0
W1,kijun,2025-03-17,2025-03-31,3,84450.0,14.0
W1,ssb,2024-03-11,2024-08-05,22,49231.2,147.0
W1,ssb,2022-06-13,2022-10-31,21,43395.95,140.0
W1,ssb,2022-01-03,2022-05-02,18,48943.35,119.0
W1,ssb,2023-07-10,2023-10-16,15,23646.6,98.0
W1,ssb,2025-02-10,2025-05-12,14,79444.0,91.0
W1,ssb,2022-12-26,2023-03-20,13,31821.6,84.0
W1,ssb,2025-11-03,2026-01-26,13,100332.75,84.0
W1,ssb,2025-05-19,2025-06-30,7,80423.75,42.0
W1,ssb,2021-07-19,2021-08-23,6,37397.345,35.0
W1,ssb,2021-01-04,2021-02-01,5,22873.66,28.0
W1,ssb,2024-01-08,2024-02-05,5,34274.55,28.0
W1,ssb,2024-12-16,2025-01-13,5,73455.9,28.0
W1,ssb,2020-09-21,2020-10-12,4,8060.615,21.0
W1,ssb,2021-05-24,2021-06-14,4,36901.255,21.0
W1,ssb,2022-05-09,2022-05-30,4,47914.85,21.0
W1,ssb,2022-11-28,2022-12-19,4,33788.6,21.0
W1,ssb,2024-08-12,2024-09-02,4,49384.7,21.0
W1,ssb,2021-02-15,2021-03-01,3,31046.975,14.0
W1,ssb,2023-05-08,2023-05-22,3,23935.35,14.0
W1,ssb,2025-07-14,2025-07-28,3,86094.0,14.0
W1,ssb,2025-08-11,2025-08-25,3,88528.20000000001,14.0
