tf,status,n,avg_width,avg_strength
D1,BREAKOUT_UP,125,4039.99352,20.241862679592003
D1,BREAKOUT_DOWN,92,4250.501847826087,20.750542588801217
D1,ACTIVE,4,5603.155000000001,11.667308157001859
H1,BREAKOUT_UP,72,1227.916944444444,42.188173605638596
H1,BREAKOUT_DOWN,52,1532.2671153846145,41.42990075022965
H1,ACTIVE,12,1616.1308333333327,59.162322018662195
H4,BREAKOUT_UP,149,2336.9902013422816,28.64635762978899
H4,BREAKOUT_DOWN,118,2428.4305084745756,25.91711828695589
H4,ACTIVE,13,3311.591538461538,30.84583270943272
M30,BREAKOUT_UP,54,834.3046296296286,52.35227437542843
M30,BREAKOUT_DOWN,49,840.9583673469386,45.03193572118623
M30,ACTIVE,12,1309.7716666666668,70.7836752508913
W1,BREAKOUT_UP,12,12419.713333333333,15.623472622375624
W1,BREAKOUT_DOWN,6,14661.061666666668,17.776213905809083
