tf,status,n,avg_width,avg_strength
D1,BREAKOUT_UP,118,3634.1684745762714,19.487244550315747
D1,BREAKOUT_DOWN,89,4013.7300000000005,20.810007269953218
D1,ACTIVE,16,8464.384375,23.128157801714195
H1,BREAKOUT_UP,321,974.0350778816196,38.90634468961837
H1,BREAKOUT_DOWN,281,872.9280427046261,36.83201480254195
H1,ACTIVE,119,1380.6145378151261,46.5233199307611
H4,BREAKOUT_UP,597,1525.3573701842545,22.607001658819204
H4,BREAKOUT_DOWN,499,1560.6666733466934,21.592712698509654
H4,ACTIVE,108,2620.669166666666,28.530888626619543
M30,BREAKOUT_UP,201,717.1747761194032,48.54253359279204
M30,BREAKOUT_DOWN,165,644.5749696969693,46.88437001889786
M30,ACTIVE,129,922.1886821705426,57.626521975433704
