tf,status,n,avg_width,avg_strength
D1,BREAKOUT_UP,121,3881.163636363636,20.09247597259259
D1,BREAKOUT_DOWN,91,4120.351318681319,20.763706023268405
D1,ACTIVE,9,8209.467777777778,18.362793882843462
H1,BREAKOUT_UP,70,1230.5088571428566,41.39354999437113
H1,BREAKOUT_DOWN,52,1532.2671153846145,41.42990075022965
H1,ACTIVE,14,1547.7121428571425,60.71056173028188
H4,BREAKOUT_UP,146,2318.8067808219175,28.509011343954096
H4,BREAKOUT_DOWN,114,2420.698245614035,25.7498414922675
H4,ACTIVE,20,3165.581999999999,31.48627417930937
M30,BREAKOUT_UP,47,861.949148936169,51.60883849605029
M30,BREAKOUT_DOWN,45,878.8375555555555,42.7503300075139
M30,ACTIVE,23,952.929130434783,66.6787613030203
W1,BREAKOUT_UP,12,12419.713333333333,15.623472622375624
W1,BREAKOUT_DOWN,6,14661.061666666668,17.776213905809083
