tf,status,n,avg_width,avg_strength
D1,BREAKOUT_UP,118,3746.386440677966,19.701903808851277
D1,BREAKOUT_DOWN,91,4120.351318681319,20.763706023268405
D1,ACTIVE,12,8452.700833333334,22.63584068207035
H1,BREAKOUT_UP,67,1253.2879104477606,40.29176865083551
H1,BREAKOUT_DOWN,49,1473.5502040816316,40.51801474663896
H1,ACTIVE,20,1565.3614999999995,60.84599903252895
H4,BREAKOUT_UP,144,2335.718194444444,28.249414279286793
H4,BREAKOUT_DOWN,110,2382.1053636363636,25.022114992506136
H4,ACTIVE,26,3055.4623076923067,34.891337097269506
M30,BREAKOUT_UP,47,861.949148936169,51.60883849605029
M30,BREAKOUT_DOWN,44,882.0270454545454,42.103746598593766
M30,ACTIVE,24,943.9945833333337,66.86714624872779
W1,BREAKOUT_UP,12,12419.713333333333,15.623472622375624
W1,BREAKOUT_DOWN,6,14661.061666666668,17.776213905809083
