tf,status,n,avg_width,avg_strength
D1,BREAKOUT_UP,116,3670.740172413793,19.515610464598762
D1,BREAKOUT_DOWN,89,4013.7300000000005,20.810007269953218
D1,ACTIVE,16,8464.384375,23.128157801714195
H1,BREAKOUT_UP,61,1081.5452459016387,38.13555886779806
H1,BREAKOUT_DOWN,40,1295.9724999999985,34.567869198358935
H1,ACTIVE,35,1990.5234285714284,62.65335268490938
H4,BREAKOUT_UP,136,2228.0394852941176,27.52878369725311
H4,BREAKOUT_DOWN,107,2389.226074766355,24.440856831239675
H4,ACTIVE,37,3220.445135135135,36.9847785446733
M30,ACTIVE,39,1018.0823076923077,66.97099469225452
M30,BREAKOUT_UP,39,810.9512820512808,47.972145050000904
M30,BREAKOUT_DOWN,37,828.2259459459458,37.84349512632418
W1,BREAKOUT_UP,12,12419.713333333333,15.623472622375624
W1,BREAKOUT_DOWN,6,14661.061666666668,17.776213905809083
