tf,start_ts,end_ts,overlap_hours,kijun_flat_bars,ssb_flat_bars,kijun,ssb,range_mid,mid_spread,strength
D1,2024-08-05 00:00:00+00:00,2024-08-23 00:00:00+00:00,432.0,19,45,59484.5,59484.5,59484.5,0.0,69.2
D1,2024-09-06 00:00:00+00:00,2024-09-18 00:00:00+00:00,288.0,14,45,58843.100000000006,59484.5,59163.8,641.3999999999942,64.50074174152081
D1,2025-01-20 00:00:00+00:00,2025-02-07 00:00:00+00:00,432.0,19,36,99454.5,99454.5,99454.5,0.0,58.4
D1,2024-08-28 00:00:00+00:00,2024-08-30 00:00:00+00:00,48.0,3,45,57031.7,59484.5,58258.1,2452.800000000003,54.12136601499894
D1,2022-12-25 00:00:00+00:00,2022-12-26 00:00:00+00:00,24.0,15,36,17305.0,18458.45,17881.725,1153.4500000000007,51.85511664589371
D1,2022-11-21 00:00:00+00:00,2022-11-30 00:00:00+00:00,216.0,10,36,18458.45,18458.45,18458.45,0.0,51.199999999999996
D1,2025-02-08 00:00:00+00:00,2025-02-14 00:00:00+00:00,144.0,7,36,100565.15,99454.5,100009.825,1110.6499999999942,48.26400845130523
D1,2025-02-19 00:00:00+00:00,2025-02-24 00:00:00+00:00,120.0,6,36,98790.15,99454.5,99122.325,664.3500000000058,47.6804302778903
D1,2025-10-10 00:00:00+00:00,2025-10-31 00:00:00+00:00,504.0,22,25,113862.5,113862.5,113862.5,0.0,47.6
D1,2025-09-01 00:00:00+00:00,2025-09-08 00:00:00+00:00,168.0,8,34,115878.55,115878.55,115878.55,0.0,47.199999999999996
D1,2025-09-18 00:00:00+00:00,2025-09-26 00:00:00+00:00,192.0,9,34,112543.35,115878.55,114210.95000000001,3335.199999999997,46.63807023879557
D1,2025-02-16 00:00:00+00:00,2025-02-18 00:00:00+00:00,48.0,3,36,99103.4,99454.5,99278.95,351.1000000000058,45.439303904795786
D1,2022-12-18 00:00:00+00:00,2022-12-23 00:00:00+00:00,120.0,6,36,17192.05,18458.45,17825.25,1266.4000000000015,44.81603213970506
D1,2022-12-07 00:00:00+00:00,2022-12-12 00:00:00+00:00,120.0,6,36,16436.6,18458.45,17447.525,2021.8500000000022,43.01530994189592
D1,2025-09-13 00:00:00+00:00,2025-09-16 00:00:00+00:00,72.0,4,34,112304.45,115878.55,114091.5,3574.100000000006,42.6634972328361
D1,2025-09-28 00:00:00+00:00,2025-09-30 00:00:00+00:00,48.0,3,34,113220.6,115878.55,114549.57500000001,2657.949999999997,42.22034071617841
D1,2022-12-14 00:00:00+00:00,2022-12-16 00:00:00+00:00,48.0,3,36,16921.6,18458.45,17690.025,1536.8500000000022,41.955083184344815
D1,2025-07-20 00:00:00+00:00,2025-07-27 00:00:00+00:00,168.0,8,30,114155.0,110707.7,112431.35,3447.300000000003,41.138632871542775
D1,2025-07-14 00:00:00+00:00,2025-07-17 00:00:00+00:00,72.0,4,30,110707.7,110707.7,110707.7,0.0,39.2
D1,2025-07-30 00:00:00+00:00,2025-08-02 00:00:00+00:00,72.0,4,30,115350.0,110707.7,113028.85,4642.300000000003,37.65350232406159
D1,2025-08-05 00:00:00+00:00,2025-08-08 00:00:00+00:00,72.0,4,30,117575.0,110707.7,114141.35,6867.300000000003,36.97538085087306
D1,2020-09-16 00:00:00+00:00,2020-09-26 00:00:00+00:00,240.0,14,22,10934.825,11154.0,11044.4125,219.17499999999927,36.86835211250413
D1,2021-12-06 00:00:00+00:00,2021-12-10 00:00:00+00:00,96.0,5,28,53641.97,55043.795,54342.8825,1401.824999999997,36.65446413903957
D1,2021-07-26 00:00:00+00:00,2021-08-12 00:00:00+00:00,408.0,19,18,38705.42,38474.305,38589.8625,231.11499999999796,36.580916593354715
D1,2024-01-23 00:00:00+00:00,2024-02-05 00:00:00+00:00,312.0,14,20,43786.25,43786.25,43786.25,0.0,35.2
D1,2024-05-09 00:00:00+00:00,2024-05-16 00:00:00+00:00,168.0,8,25,61879.85,64714.05,63296.95,2834.2000000000044,34.83999567526045
D1,2022-10-13 00:00:00+00:00,2022-10-25 00:00:00+00:00,288.0,13,22,19208.9,20383.9,19796.4,1175.0,34.738144329896905
D1,2024-05-21 00:00:00+00:00,2024-05-26 00:00:00+00:00,120.0,6,25,64335.25,64714.05,64524.65,378.8000000000029,34.5968946180827
D1,2021-12-21 00:00:00+00:00,2021-12-25 00:00:00+00:00,96.0,5,28,50056.94,55043.795,52550.3675,4986.854999999996,34.341140085446426
D1,2021-12-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,24.0,6,28,48753.555,55043.795,51898.675,6290.239999999998,34.24894793106213
D1,2021-06-22 00:00:00+00:00,2021-06-30 00:00:00+00:00,192.0,19,22,35096.505,44171.0,39633.7525,9074.495000000003,33.84979317927626
