regime_case,n,avg_score,avg_size_mult
CHAOS_CONFLICT_TF,39792,0.14711499798954564,0.0
LOW_CONFIDENCE_NEUTRAL,38429,2.1931874365713395,0.6146399854276718
RANGE_NEUTRAL,8652,0.013522884882108182,0.25
TREND_CONTINUATION_LONG,7977,11.73925034474113,1.0
PULLBACK_LONG_IN_BULL_TREND,3640,6.02032967032967,0.5535714285714286
TREND_CONTINUATION_SHORT,3395,-11.548159057437408,1.0
MACRO_BULL_MICRO_BEAR,3384,3.021867612293144,0.377733451536643
RANGE_BIASED_LONG,2027,0.026147015293537246,0.25
MACRO_BEAR_MICRO_BULL,1588,-3.118387909319899,0.3897984886649874
PULLBACK_SHORT_IN_BEAR_TREND,1471,-5.9496940856560165,0.5448674371176071
RANGE_BIASED_SHORT,1134,-0.14814814814814814,0.25
WARMUP_UNDEFINED,77,0.0,0.0
