regime_case,n,avg_score,avg_size_mult
CHAOS_CONFLICT_TF,50856,0.15207645115620574,0.0
LOW_CONFIDENCE_NEUTRAL,25566,2.909489165297661,0.6312876476570445
TREND_CONTINUATION_LONG,10312,11.885958107059736,1.0
RANGE_NEUTRAL,6182,0.14445163377547718,0.25
MACRO_BULL_MICRO_BEAR,4585,3.555507088331516,0.4444383860414395
PULLBACK_LONG_IN_BULL_TREND,4265,7.134349355216882,0.6522860492379836
TREND_CONTINUATION_SHORT,4094,-11.773815339521251,1.0
MACRO_BEAR_MICRO_BULL,2264,-3.697879858657244,0.4622349823321555
PULLBACK_SHORT_IN_BEAR_TREND,1727,-7.07469600463231,0.6456282570932252
RANGE_BIASED_LONG,1060,0.3660377358490566,0.25
RANGE_BIASED_SHORT,577,-0.37954939341421146,0.25
WARMUP_UNDEFINED,78,0.0,0.0
