feature,coef
vol_state_code,0.2897736833757937
delta_norm,0.17058399989737902
trend_score_h1,0.16709116411099253
ema20_50_spread,0.1412273707950631
range_rel,0.12754374190336143
minute_utc,0.12738724338023355
ema50_200_spread,0.09170851617232667
hour_utc,0.04895257051860515
er_h1,0.010258832968319267
router_mode_code,0.0
side,-0.00401315573918531
dir_state_code,-0.00401315573918531
atr14,-0.009051214471186007
close_pos,-0.010092722853824947
atr_pct_pctl_h1,-0.10337030545994735
slope50_norm_h1,-0.25488744105965594
bias,-1.2999044592208593
