feature,coef
ema20_50_spread_m1,0.04779367793596423
vwap_dist,0.04133636007378436
hour_utc,0.04054274385663878
ema50_200_spread,0.038888342886690574
bias,0.03127347394450421
trend_score_h1,0.0256363149262357
kc_width,0.022642049723060723
range_pct,0.014907935766790493
ret1,0.013768143358573442
slope50_norm_h1,0.012801225428008703
body_pct,0.012610626220155841
delta_norm,0.012084335493508555
hh_hl_state,0.007002638129331101
is_ll,0.0030965192559715333
close_pos,0.0029135614979353196
atr_pct_pctl_h1,0.0008956081045165804
minute_utc,-0.0018697287456358438
range_rel,-0.004019445588252154
squeeze_ratio,-0.004519789671112615
is_hh,-0.0045613322020424145
bb_width,-0.007991691602893994
vol_state_code,-0.009997418189021542
er_h1,-0.014779442061791295
router_mode_code,-0.015202196056349978
atr14,-0.0197761920220222
ema20_50_spread,-0.03759465799641767
bb_pos,-0.05769519125919292
ema50_200_spread_m1,-0.06480322576916347
dir_state_code,-0.1028933089233114
vwap_dist_z,-0.14969461789604033
