feature,coef
hour_utc,0.040206211736401674
ret1,0.03354677024541821
ema20_50_spread_m1,0.03210393303683018
ema50_200_spread,0.03203356824086389
vwap_dist,0.0289604032626286
bias,0.024550029035785126
slope50_norm_h1,0.02405205133197719
delta_norm,0.018529294197421824
trend_score_h1,0.016765744766945662
kc_width,0.013409272847654757
body_pct,0.010731701119678744
is_ll,0.009876433080804322
hh_hl_state,0.00966630502821045
bb_width,0.006207739957281352
range_pct,0.0035287873870736733
range_rel,0.00122724155830149
atr_pct_pctl_h1,0.0011210995210238566
close_pos,-0.00200367711780765
er_h1,-0.0029798849299895397
minute_utc,-0.0037983198171057013
vol_state_code,-0.00541430967923369
squeeze_ratio,-0.0076416061053885915
is_hh,-0.009131128411499457
atr14,-0.010242055697554047
router_mode_code,-0.013694916281821366
ema20_50_spread,-0.03174453870283907
ema50_200_spread_m1,-0.047521187394747325
bb_pos,-0.08117315969595582
dir_state_code,-0.09158088273056275
vwap_dist_z,-0.13532478241675222
