feature,coef
ema20_50_spread_m1,0.03674958942663498
hour_utc,0.03566527799126791
ret1,0.03513382350187905
ema50_200_spread,0.033892876536452114
slope50_norm_h1,0.024511674562971698
trend_score_h1,0.020242667329456617
bias,0.01905952714834523
vwap_dist,0.017776273618651615
hh_hl_state,0.017617614827199524
delta_norm,0.016708265276200104
range_pct,0.01661171648904468
body_pct,0.014573387352663569
kc_width,0.011538506226898306
close_pos,0.011439371230741742
squeeze_ratio,0.007375939988037465
minute_utc,0.00538910393521234
is_ll,0.003845830351500635
range_rel,-0.0005604370077985639
atr_pct_pctl_h1,-0.0007480507787294528
vol_state_code,-0.0018650845857924993
router_mode_code,-0.0043873857099771315
er_h1,-0.006869227793913524
atr14,-0.007490538175226211
bb_width,-0.01846587854302166
is_hh,-0.029560104711695966
ema20_50_spread,-0.03139169442217028
ema50_200_spread_m1,-0.04921321336249649
dir_state_code,-0.06826808993386195
bb_pos,-0.1244368566366484
vwap_dist_z,-0.12758287984263875
