feature,coef
delta_norm,0.04962214628713799
vwap_dist,0.044248598752169334
cvd_ret1_z,0.04353518380182665
hour_utc,0.040623047967873756
bias,0.031320415466648134
ema50_200_spread,0.029825989105047163
ema20_50_spread_m1,0.029500053600070797
cvd_proxy,0.028250545540340056
trend_score_h1,0.025015708519847028
price_slope_3,0.023223506992821084
div_cvd_price_3,0.01784287754802038
div_cvd_price_8,0.015061654647232322
kc_width,0.014125260339587479
body_pct,0.013540059184943025
slope50_norm_h1,0.011363857919242023
cvd_ret1,0.007826317040184367
delta_aggr,0.007805277146161304
hh_hl_state,0.006761881197589737
aggr_buy,0.0067113618304263925
range_pct,0.005466062414879661
aggr_sell,0.004349245785245705
is_hh,0.0018952779756463238
atr_pct_pctl_h1,0.0015442366146308324
close_pos,-0.0009313058835030945
is_ll,-0.001183692129827567
atr14,-0.0018939778896132902
minute_utc,-0.0019721841794642122
price_slope_8,-0.003646787047698789
cvd_slope_8,-0.0049359428468557
range_rel,-0.005437792667548792
ret1,-0.005779040875359381
squeeze_ratio,-0.006376279435598556
bb_width,-0.008279916264986574
vol_state_code,-0.013272179548111168
er_h1,-0.014058279879916619
router_mode_code,-0.015505664646260702
cvd_slope_3,-0.018737517805363067
ema20_50_spread,-0.03328480199440069
bb_pos,-0.049103546925316675
ema50_200_spread_m1,-0.05436129543056862
delta_aggr_norm,-0.07767353399565925
dir_state_code,-0.10328326159075289
vwap_dist_z,-0.1479473731347967
