feature,coef
delta_norm,0.04616310776178162
vwap_dist,0.04551142986004888
cvd_proxy,0.04402977231122381
hour_utc,0.04093292903788419
bias,0.034898147481188926
ema50_200_spread,0.031028376755726207
ema20_50_spread_m1,0.023859141447354293
kc_width,0.01875451283244858
trend_score_h1,0.018266901139077495
delta_aggr,0.017931423535221563
cvd_ret1,0.01791174864564744
atr_pct_pctl_h1,0.017880573018385484
squeeze_ratio,0.015002784616781829
div_cvd_price_3,0.012767352675385719
slope50_norm_h1,0.01193206378204831
cvd_ret1_z,0.011279725675842258
hh_hl_state,0.010465718501558875
body_pct,0.008021821193900752
range_pct,0.007382967571314113
aggr_buy,0.007270674507961812
is_ll,0.004114050015139785
div_cvd_price_8,0.0029108273987383066
price_slope_3,0.0024041909800395452
aggr_sell,0.0019702626808413806
price_slope_8,0.0012610022297137174
ret1,0.000861868582928137
close_pos,0.00035204929080111437
minute_utc,-0.001586565460503736
router_mode_code,-0.0028207080519508537
atr14,-0.00538313050373932
cvd_slope_8,-0.007043411276832801
bb_width,-0.007162101660283771
range_rel,-0.008529974674467644
er_h1,-0.011229218442237723
is_hh,-0.017662459011070764
cvd_slope_3,-0.019890164629926092
vol_state_code,-0.020959517782215883
ema50_200_spread_m1,-0.029444278307373565
bb_pos,-0.03739125030973325
ema20_50_spread,-0.04562895940713879
delta_aggr_norm,-0.06294024818676576
vwap_dist_z,-0.12163254242140176
dir_state_code,-0.13785797230122696
