feature,coef
slope50_norm_h1,0.03165633155920434
hour_utc,0.029732713512368492
ema50_200_spread,0.024419529002883304
range_pct,0.02259108251344434
bias,0.018453440554629833
trend_score_h1,0.015353689683385088
minute_utc,0.0026610833432497466
body_pct,0.0006773109481116066
er_h1,-0.0007367112301781745
vol_state_code,-0.0034792030107649364
atr_pct_pctl_h1,-0.004632386603288131
router_mode_code,-0.006449990484361529
range_rel,-0.009387919144459193
atr14,-0.010033259322270251
close_pos,-0.025940496276619464
delta_norm,-0.028152667642803636
ema20_50_spread,-0.030288300483594075
dir_state_code,-0.06152432075218019
ret1,-0.062294373924851286
