class,feature,coef
RANGE,bias,
RANGE,aggr_buy_ratio_mn,
RANGE,atr14_mn,
RANGE,atr_pct_mn,
RANGE,bb_width_mn,
RANGE,body_pct_mn,
RANGE,bos_down_mn,
RANGE,bos_up_mn,
RANGE,choch_down_mn,
RANGE,choch_up_mn,
RANGE,close_pos_mn,
RANGE,cvd_slope_3_mn,
RANGE,cvd_slope_8_mn,
RANGE,delta_norm_mn,
RANGE,ema20_50_spread_mn,
RANGE,ema20_slope_mn,
RANGE,ema50_200_spread_mn,
RANGE,ema50_slope_mn,
RANGE,hh_hl_state_mn,
RANGE,is_hh_mn,
RANGE,is_ll_mn,
RANGE,kc_width_mn,
RANGE,lower_wick_pct_mn,
RANGE,range_pct_mn,
RANGE,ret1_mn,
RANGE,squeeze_ratio_mn,
RANGE,trend_score_mn,
RANGE,upper_wick_pct_mn,
RANGE,volume_z_mn,
RANGE,vwap_dist_mn,
RANGE,vwap_dist_z_mn,
TREND_UP,bias,
TREND_UP,aggr_buy_ratio_mn,
TREND_UP,atr14_mn,
TREND_UP,atr_pct_mn,
TREND_UP,bb_width_mn,
TREND_UP,body_pct_mn,
TREND_UP,bos_down_mn,
TREND_UP,bos_up_mn,
TREND_UP,choch_down_mn,
TREND_UP,choch_up_mn,
TREND_UP,close_pos_mn,
TREND_UP,cvd_slope_3_mn,
TREND_UP,cvd_slope_8_mn,
TREND_UP,delta_norm_mn,
TREND_UP,ema20_50_spread_mn,
TREND_UP,ema20_slope_mn,
TREND_UP,ema50_200_spread_mn,
TREND_UP,ema50_slope_mn,
TREND_UP,hh_hl_state_mn,
TREND_UP,is_hh_mn,
TREND_UP,is_ll_mn,
TREND_UP,kc_width_mn,
TREND_UP,lower_wick_pct_mn,
TREND_UP,range_pct_mn,
TREND_UP,ret1_mn,
TREND_UP,squeeze_ratio_mn,
TREND_UP,trend_score_mn,
TREND_UP,upper_wick_pct_mn,
TREND_UP,volume_z_mn,
TREND_UP,vwap_dist_mn,
TREND_UP,vwap_dist_z_mn,
TREND_DOWN,bias,
TREND_DOWN,aggr_buy_ratio_mn,
TREND_DOWN,atr14_mn,
TREND_DOWN,atr_pct_mn,
TREND_DOWN,bb_width_mn,
TREND_DOWN,body_pct_mn,
TREND_DOWN,bos_down_mn,
TREND_DOWN,bos_up_mn,
TREND_DOWN,choch_down_mn,
TREND_DOWN,choch_up_mn,
TREND_DOWN,close_pos_mn,
TREND_DOWN,cvd_slope_3_mn,
TREND_DOWN,cvd_slope_8_mn,
TREND_DOWN,delta_norm_mn,
TREND_DOWN,ema20_50_spread_mn,
TREND_DOWN,ema20_slope_mn,
TREND_DOWN,ema50_200_spread_mn,
TREND_DOWN,ema50_slope_mn,
TREND_DOWN,hh_hl_state_mn,
TREND_DOWN,is_hh_mn,
TREND_DOWN,is_ll_mn,
TREND_DOWN,kc_width_mn,
TREND_DOWN,lower_wick_pct_mn,
TREND_DOWN,range_pct_mn,
TREND_DOWN,ret1_mn,
TREND_DOWN,squeeze_ratio_mn,
TREND_DOWN,trend_score_mn,
TREND_DOWN,upper_wick_pct_mn,
TREND_DOWN,volume_z_mn,
TREND_DOWN,vwap_dist_mn,
TREND_DOWN,vwap_dist_z_mn,
