engine,side,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,r_mult,exit_reason
RANGE,SHORT,6698,6699,2019-10-05 15:35:00+00:00,2019-10-05 15:35:00+00:00,8045.98,8045.98,0.0,TP2_CP
RANGE,SHORT,6701,6705,2019-10-05 15:40:00+00:00,2019-10-05 15:45:00+00:00,8059.28,8052.44,0.0,SL
RANGE,SHORT,13878,13879,2019-10-10 15:15:00+00:00,2019-10-10 15:15:00+00:00,8483.8,8483.8,0.0,TP2_CP
RANGE,LONG,28284,28286,2019-10-20 15:20:00+00:00,2019-10-20 15:25:00+00:00,7997.81,8000.0,0.2251894940948,TP2_CP
RANGE,SHORT,31183,31185,2019-10-22 15:40:00+00:00,2019-10-22 15:45:00+00:00,8206.4,8195.12,1.191543302095946,TP2_CP
RANGE,SHORT,31230,31231,2019-10-22 16:30:00+00:00,2019-10-22 16:30:00+00:00,8211.4,8211.4,0.0,TP2_CP
RANGE,SHORT,31233,31235,2019-10-22 16:30:00+00:00,2019-10-22 16:35:00+00:00,8211.4,8215.84,-0.5803921568628393,TP2_CP
RANGE,SHORT,39822,39824,2019-10-28 15:40:00+00:00,2019-10-28 15:40:00+00:00,9396.4,9396.4,0.0,SL
RANGE,SHORT,41245,41248,2019-10-29 15:25:00+00:00,2019-10-29 15:25:00+00:00,9341.18,9341.18,0.0,SL
RANGE,LONG,44137,44138,2019-10-31 15:35:00+00:00,2019-10-31 15:35:00+00:00,9205.36,9205.36,0.0,TP2_CP
RANGE,LONG,47057,47058,2019-11-02 16:15:00+00:00,2019-11-02 16:15:00+00:00,9310.12,9310.12,0.0,TP2_CP
RANGE,LONG,47068,47069,2019-11-02 16:25:00+00:00,2019-11-02 16:25:00+00:00,9305.72,9305.72,0.0,TP2_CP
RANGE,SHORT,52784,52785,2019-11-06 15:40:00+00:00,2019-11-06 15:45:00+00:00,9344.04,9348.46,-1.0,SL
RANGE,SHORT,62852,62854,2019-11-13 15:30:00+00:00,2019-11-13 15:30:00+00:00,8755.5,8755.5,0.0,SL
RANGE,LONG,72927,72930,2019-11-20 15:25:00+00:00,2019-11-20 15:30:00+00:00,8111.05,8111.99,-1.0,SL
RANGE,LONG,72998,73000,2019-11-20 16:35:00+00:00,2019-11-20 16:40:00+00:00,8118.06,8122.52,0.5318750212954376,TP2_CP
RANGE,SHORT,81559,81560,2019-11-26 15:15:00+00:00,2019-11-26 15:20:00+00:00,7060.56,7070.06,-1.0,SL
RANGE,LONG,110416,110417,2019-12-16 16:15:00+00:00,2019-12-16 16:15:00+00:00,7092.85,7092.85,0.0,TP2_CP
RANGE,LONG,120439,120441,2019-12-23 15:15:00+00:00,2019-12-23 15:20:00+00:00,7558.0,7567.85,0.7280348865448555,TP2_CP
RANGE,SHORT,121962,121963,2019-12-24 16:40:00+00:00,2019-12-24 16:40:00+00:00,7281.96,7281.96,0.0,TP2_CP
RANGE,SHORT,123322,123323,2019-12-25 15:20:00+00:00,2019-12-25 15:20:00+00:00,7190.55,7190.55,-1.0,SL
RANGE,SHORT,123341,123344,2019-12-25 15:40:00+00:00,2019-12-25 15:40:00+00:00,7198.3,7198.3,0.0,TP2_CP
RANGE,SHORT,123378,123379,2019-12-25 16:15:00+00:00,2019-12-25 16:15:00+00:00,7183.65,7183.65,0.0,TP2_CP
RANGE,SHORT,134908,134910,2020-01-02 16:25:00+00:00,2020-01-02 16:30:00+00:00,7115.45,7120.36,-0.5301067308285194,VOL_HIGH_KILL
RANGE,SHORT,134924,134925,2020-01-02 16:40:00+00:00,2020-01-02 16:45:00+00:00,7113.69,7063.44,7.233635634524511,TP2_CP
RANGE,LONG,149238,149239,2020-01-12 15:15:00+00:00,2020-01-12 15:15:00+00:00,8154.98,8154.98,0.0,TP2_CP
RANGE,LONG,149316,149318,2020-01-12 16:35:00+00:00,2020-01-12 16:35:00+00:00,8140.0,8140.0,0.0,TP2_CP
RANGE,LONG,153563,153564,2020-01-15 15:20:00+00:00,2020-01-15 15:20:00+00:00,8799.02,8799.02,-1.0,SL
RANGE,LONG,157877,157878,2020-01-18 15:15:00+00:00,2020-01-18 15:15:00+00:00,8922.11,8922.11,0.0,TP2_CP
RANGE,LONG,157938,157940,2020-01-18 16:15:00+00:00,2020-01-18 16:20:00+00:00,8923.0,8895.51,0.0,SL
RANGE,LONG,169397,169398,2020-01-26 15:15:00+00:00,2020-01-26 15:15:00+00:00,8468.01,8468.01,0.0,TP2_CP
RANGE,LONG,169418,169420,2020-01-26 15:35:00+00:00,2020-01-26 15:40:00+00:00,8454.18,8457.0,0.3801270941651411,VOL_HIGH_KILL
RANGE,SHORT,176598,176600,2020-01-31 15:15:00+00:00,2020-01-31 15:20:00+00:00,9302.97,9290.83,0.0,SL
RANGE,LONG,179481,179485,2020-02-02 15:20:00+00:00,2020-02-02 15:25:00+00:00,9459.9,9459.99,-1.0,SL
RANGE,LONG,183798,183800,2020-02-05 15:15:00+00:00,2020-02-05 15:20:00+00:00,9462.57,9469.99,0.7166411413276649,TP2_CP
RANGE,LONG,215553,215556,2020-02-27 16:30:00+00:00,2020-02-27 16:35:00+00:00,8918.42,8939.95,0.592238923273419,SL
RANGE,SHORT,218363,218365,2020-02-29 15:20:00+00:00,2020-02-29 15:25:00+00:00,8657.0,8657.36,-1.0,SL
RANGE,LONG,221299,221300,2020-03-02 16:15:00+00:00,2020-03-02 16:20:00+00:00,8845.55,8857.94,0.7101972633700226,VOL_HIGH_KILL
RANGE,SHORT,227067,227070,2020-03-06 16:25:00+00:00,2020-03-06 16:30:00+00:00,9053.61,9067.32,-1.0,SL
RANGE,LONG,232767,232770,2020-03-10 15:25:00+00:00,2020-03-10 15:30:00+00:00,8013.65,7864.67,-1.0,SL
RANGE,SHORT,273154,273159,2020-04-07 16:30:00+00:00,2020-04-07 16:35:00+00:00,7346.68,7355.0,-0.48589210925896753,TP2_CP
RANGE,SHORT,273163,273165,2020-04-07 16:40:00+00:00,2020-04-07 16:45:00+00:00,7368.18,7362.46,0.400692505529048,TP2_CP
RANGE,LONG,280291,280292,2020-04-12 15:30:00+00:00,2020-04-12 15:30:00+00:00,6967.58,6967.58,-1.0,SL
RANGE,LONG,283220,283221,2020-04-14 16:20:00+00:00,2020-04-14 16:20:00+00:00,6934.89,6934.89,-1.0,SL
RANGE,LONG,283236,283237,2020-04-14 16:35:00+00:00,2020-04-14 16:35:00+00:00,6923.5,6923.5,0.0,TP2_CP
RANGE,SHORT,284596,284597,2020-04-15 15:15:00+00:00,2020-04-15 15:15:00+00:00,6719.99,6719.99,-1.0,SL
