engine,side,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,r_mult,exit_reason
RANGE,LONG,807338,807339,2021-04-13 15:35:00,2021-04-13 15:35:00,63200.01,63200.01,-1.0,SL
RANGE,SHORT,1357474,1357476,2022-04-30 16:30:00,2022-04-30 16:35:00,38565.1,38529.9,0.6725074374300597,TP2_CP
RANGE,SHORT,1368986,1368988,2022-05-08 16:25:00,2022-05-08 16:25:00,34410.9,34410.9,0.0,SL
RANGE,SHORT,1377566,1377568,2022-05-14 15:25:00,2022-05-14 15:25:00,28917.4,28917.4,0.0,TP2_CP
RANGE,SHORT,1377642,1377645,2022-05-14 16:40:00,2022-05-14 16:45:00,29136.3,29374.0,0.0,SL
RANGE,SHORT,1415009,1415010,2022-06-09 15:25:00,2022-06-09 15:30:00,30122.0,30166.6,-1.0,SL
RANGE,SHORT,1415019,1415020,2022-06-09 15:35:00,2022-06-09 15:40:00,30241.9,30309.6,-1.0,SL
RANGE,SHORT,1426528,1426529,2022-06-17 15:25:00,2022-06-17 15:25:00,20629.9,20629.9,0.0,TP2_CP
RANGE,SHORT,1645406,1645408,2022-11-16 15:25:00,2022-11-16 15:25:00,16528.2,16528.2,0.0,SL
RANGE,SHORT,1690102,1690104,2022-12-17 16:20:00,2022-12-17 16:20:00,16682.7,16682.7,0.0,TP2_CP
RANGE,SHORT,1691556,1691557,2022-12-18 16:35:00,2022-12-18 16:35:00,16683.2,16683.2,-1.0,SL
RANGE,LONG,1966541,1966542,2023-06-27 15:40:00,2023-06-27 15:40:00,30486.8,30486.8,-1.0,SL
RANGE,LONG,2139323,2139324,2023-10-25 15:20:00,2023-10-25 15:20:00,34677.1,34677.1,0.0,TP2_CP
RANGE,LONG,2145143,2145144,2023-10-29 16:20:00,2023-10-29 16:20:00,34410.4,34410.4,-1.0,SL
RANGE,LONG,2145148,2145150,2023-10-29 16:25:00,2023-10-29 16:30:00,34389.4,34411.1,0.9767232510285586,TP2_CP
RANGE,LONG,2162378,2162379,2023-11-10 15:35:00,2023-11-10 15:35:00,37039.8,37039.8,0.0,TP2_CP
RANGE,LONG,2188284,2188285,2023-11-28 15:20:00,2023-11-28 15:25:00,37420.1,37360.0,-1.0,SL
RANGE,LONG,2194045,2194046,2023-12-02 15:25:00,2023-12-02 15:25:00,38785.6,38785.6,-1.0,SL
RANGE,LONG,2194051,2194053,2023-12-02 15:30:00,2023-12-02 15:30:00,38781.8,38781.8,0.0,TP2_CP
RANGE,LONG,2195479,2195481,2023-12-03 15:15:00,2023-12-03 15:20:00,39510.0,39537.2,0.8016504568227779,TP2_CP
RANGE,LONG,2199797,2199800,2023-12-06 15:15:00,2023-12-06 15:20:00,43969.8,43963.2,-0.07314524555910118,VOL_HIGH_KILL
RANGE,LONG,2199821,2199822,2023-12-06 15:40:00,2023-12-06 15:40:00,43855.4,43855.4,0.0,TP2_CP
RANGE,LONG,2220029,2220030,2023-12-20 16:25:00,2023-12-20 16:30:00,43961.8,43993.5,0.4112686498007088,TP2_CP
