engine,side,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,r_mult,exit_reason
RANGE,SHORT,52784,52785,2019-11-06 15:40:00,2019-11-06 15:45:00,9344.04,9348.46,-0.5,SL
RANGE,LONG,72927,72930,2019-11-20 15:25:00,2019-11-20 15:30:00,8111.05,8111.99,-0.25,SL
RANGE,SHORT,81559,81560,2019-11-26 15:15:00,2019-11-26 15:20:00,7060.56,7070.06,-0.25,SL
RANGE,SHORT,81581,81585,2019-11-26 15:40:00,2019-11-26 15:45:00,7091.46,7078.98,-0.25,SL
RANGE,LONG,110420,110421,2019-12-16 16:20:00,2019-12-16 16:20:00,7092.44,7092.44,-0.25,SL
RANGE,SHORT,134908,134910,2020-01-02 16:25:00,2020-01-02 16:30:00,7115.45,7120.36,-0.3975800481213896,VOL_HIGH_KILL
RANGE,SHORT,134924,134925,2020-01-02 16:40:00,2020-01-02 16:45:00,7113.69,7063.44,5.425226725893383,TP2_CP
RANGE,LONG,149319,149320,2020-01-12 16:35:00,2020-01-12 16:40:00,8140.0,8119.61,-0.75,SL
RANGE,LONG,153556,153557,2020-01-15 15:15:00,2020-01-15 15:15:00,8822.11,8822.11,0.0,TP2_CP
RANGE,LONG,153563,153564,2020-01-15 15:20:00,2020-01-15 15:20:00,8799.02,8799.02,-0.75,SL
RANGE,LONG,157877,157878,2020-01-18 15:15:00,2020-01-18 15:15:00,8922.11,8922.11,0.0,TP2_CP
RANGE,LONG,157938,157940,2020-01-18 16:15:00,2020-01-18 16:20:00,8923.0,8895.51,0.0,SL
RANGE,LONG,172282,172283,2020-01-28 15:20:00,2020-01-28 15:20:00,9037.78,9037.78,0.0,TP2_CP
RANGE,LONG,179481,179485,2020-02-02 15:20:00,2020-02-02 15:25:00,9459.9,9459.99,-0.75,SL
RANGE,SHORT,218363,218365,2020-02-29 15:20:00,2020-02-29 15:25:00,8657.0,8657.36,-0.5,SL
RANGE,LONG,232767,232770,2020-03-10 15:25:00,2020-03-10 15:30:00,8013.65,7864.67,-0.5,SL
RANGE,LONG,280291,280292,2020-04-12 15:30:00,2020-04-12 15:30:00,6967.58,6967.58,-0.25,SL
RANGE,LONG,283220,283221,2020-04-14 16:20:00,2020-04-14 16:20:00,6934.89,6934.89,-0.25,SL
RANGE,SHORT,284596,284597,2020-04-15 15:15:00,2020-04-15 15:15:00,6719.99,6719.99,-0.5,SL
RANGE,SHORT,306276,306278,2020-04-30 16:35:00,2020-04-30 16:35:00,8705.37,8705.37,0.0,TP2_CP
RANGE,SHORT,310523,310525,2020-05-03 15:20:00,2020-05-03 15:25:00,8815.01,8832.19,-0.25,SL
RANGE,LONG,356671,356674,2020-06-04 16:30:00,2020-06-04 16:30:00,9783.37,9783.37,0.0,TP2_CP
RANGE,LONG,356682,356685,2020-06-04 16:40:00,2020-06-04 16:45:00,9773.02,9773.46,0.03153540565989469,TP2_CP
RANGE,LONG,384020,384025,2020-06-23 16:20:00,2020-06-23 16:25:00,9671.3,9667.0,0.0,SL
RANGE,LONG,384042,384044,2020-06-23 16:40:00,2020-06-23 16:40:00,9664.47,9664.47,0.0,TP2_CP
RANGE,LONG,414216,414218,2020-07-14 15:35:00,2020-07-14 15:35:00,9223.17,9223.17,0.0,TP2_CP
RANGE,LONG,418532,418533,2020-07-17 15:30:00,2020-07-17 15:30:00,9154.91,9154.91,-0.25,SL
RANGE,LONG,447323,447324,2020-08-06 15:20:00,2020-08-06 15:20:00,11832.13,11832.13,0.0,TP2_CP
RANGE,LONG,447341,447345,2020-08-06 15:40:00,2020-08-06 15:45:00,11803.72,11828.53,0.9823186044933679,TP2_CP
RANGE,SHORT,451710,451711,2020-08-09 16:30:00,2020-08-09 16:30:00,11618.11,11618.11,-0.25,SL
RANGE,SHORT,460289,460290,2020-08-15 15:25:00,2020-08-15 15:30:00,11868.0,11874.69,-0.5,SL
RANGE,LONG,536656,536657,2020-10-07 16:15:00,2020-10-07 16:15:00,10619.05,10619.05,0.0,TP2_CP
RANGE,LONG,539482,539484,2020-10-09 15:20:00,2020-10-09 15:20:00,11045.17,11045.17,0.0,TP2_CP
RANGE,LONG,539497,539498,2020-10-09 15:35:00,2020-10-09 15:35:00,11055.57,11055.57,0.0,TP2_CP
RANGE,LONG,539564,539565,2020-10-09 16:40:00,2020-10-09 16:45:00,11046.48,11043.38,-0.34742235030426727,TP2_CP
RANGE,LONG,542381,542382,2020-10-11 15:40:00,2020-10-11 15:40:00,11410.99,11410.99,0.0,TP2_CP
RANGE,LONG,561092,561093,2020-10-24 15:30:00,2020-10-24 15:30:00,13113.99,13113.99,-0.75,SL
RANGE,LONG,561148,561151,2020-10-24 16:25:00,2020-10-24 16:30:00,13062.97,13071.0,0.23334786308821912,SL
RANGE,LONG,582751,582752,2020-11-08 16:30:00,2020-11-08 16:30:00,15334.28,15334.28,-0.75,SL
RANGE,SHORT,585624,585625,2020-11-10 16:20:00,2020-11-10 16:25:00,15218.44,15244.99,-0.5,SL
