engine,side,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,r_mult,exit_reason
RANGE,SHORT,3986,3989,2019-10-03 18:25:00+00:00,2019-10-03 18:25:00+00:00,8134.83,8134.83,0.0,TP2_CP
RANGE,LONG,5377,5383,2019-10-04 17:35:00+00:00,2019-10-04 17:40:00+00:00,8146.32,8155.46,1.3605528973951408,TP2_CP
RANGE,LONG,5416,5417,2019-10-04 18:15:00+00:00,2019-10-04 18:15:00+00:00,8155.21,8155.21,0.0,TP2_CP
RANGE,LONG,5425,5426,2019-10-04 18:25:00+00:00,2019-10-04 18:25:00+00:00,8164.0,8164.0,0.0,TP2_CP
RANGE,SHORT,6698,6699,2019-10-05 15:35:00+00:00,2019-10-05 15:35:00+00:00,8045.98,8045.98,0.0,TP2_CP
RANGE,SHORT,6701,6705,2019-10-05 15:40:00+00:00,2019-10-05 15:45:00+00:00,8059.28,8052.44,0.0,SL
RANGE,SHORT,13878,13879,2019-10-10 15:15:00+00:00,2019-10-10 15:15:00+00:00,8483.8,8483.8,0.0,TP2_CP
RANGE,LONG,13996,13997,2019-10-10 17:15:00+00:00,2019-10-10 17:15:00+00:00,8525.71,8525.71,0.0,TP2_CP
RANGE,LONG,14066,14068,2019-10-10 18:25:00+00:00,2019-10-10 18:25:00+00:00,8508.36,8508.36,0.0,TP2_CP
RANGE,LONG,14086,14088,2019-10-10 18:45:00+00:00,2019-10-10 18:45:00+00:00,8520.49,8520.49,0.0,TP2_CP
RANGE,LONG,14092,14094,2019-10-10 18:50:00+00:00,2019-10-10 18:50:00+00:00,8519.97,8519.97,0.0,TP2_CP
RANGE,LONG,14113,14114,2019-10-10 19:10:00+00:00,2019-10-10 19:10:00+00:00,8536.08,8536.08,0.0,TP2_CP
RANGE,LONG,14131,14132,2019-10-10 19:30:00+00:00,2019-10-10 19:30:00+00:00,8523.03,8523.03,0.0,TP2_CP
RANGE,LONG,14176,14177,2019-10-10 20:15:00+00:00,2019-10-10 20:15:00+00:00,8560.5,8560.5,0.0,TP2_CP
RANGE,SHORT,15350,15351,2019-10-11 15:50:00+00:00,2019-10-11 15:50:00+00:00,8346.08,8346.08,0.0,TP2_CP
RANGE,LONG,16786,16790,2019-10-12 15:45:00+00:00,2019-10-12 15:50:00+00:00,8361.02,8373.55,1.708547607916275,TP2_CP
RANGE,SHORT,17093,17095,2019-10-12 20:50:00+00:00,2019-10-12 20:55:00+00:00,8338.6,8335.09,0.5876022384848525,TP2_CP
RANGE,LONG,18323,18325,2019-10-13 17:20:00+00:00,2019-10-13 17:25:00+00:00,8420.05,8420.1,0.005174835514270506,VOL_HIGH_KILL
RANGE,LONG,18382,18385,2019-10-13 18:20:00+00:00,2019-10-13 18:25:00+00:00,8420.24,8429.49,1.425771788435149,VOL_HIGH_KILL
RANGE,LONG,18397,18399,2019-10-13 18:35:00+00:00,2019-10-13 18:35:00+00:00,8417.97,8417.97,0.0,TP2_CP
RANGE,LONG,18426,18427,2019-10-13 19:05:00+00:00,2019-10-13 19:05:00+00:00,8418.89,8418.89,0.0,TP2_CP
RANGE,SHORT,19626,19630,2019-10-14 15:05:00+00:00,2019-10-14 15:10:00+00:00,8264.75,8270.21,0.0,SL
RANGE,LONG,19894,19896,2019-10-14 19:30:00+00:00,2019-10-14 19:35:00+00:00,8338.81,8338.14,-0.043963254593179506,SL
RANGE,SHORT,22768,22770,2019-10-16 19:25:00+00:00,2019-10-16 19:30:00+00:00,7950.67,7957.42,-0.42860641685035167,VOL_HIGH_KILL
RANGE,SHORT,22816,22820,2019-10-16 20:15:00+00:00,2019-10-16 20:20:00+00:00,7975.09,7975.29,0.0,SL
RANGE,LONG,24137,24138,2019-10-17 18:15:00+00:00,2019-10-17 18:15:00+00:00,8075.88,8075.88,0.0,TP2_CP
RANGE,LONG,25637,25640,2019-10-18 19:15:00+00:00,2019-10-18 19:20:00+00:00,7933.79,7935.69,0.0,SL
RANGE,LONG,26894,26895,2019-10-19 16:10:00+00:00,2019-10-19 16:15:00+00:00,7970.0,7971.11,-1.0,SL
RANGE,SHORT,27094,27095,2019-10-19 19:30:00+00:00,2019-10-19 19:35:00+00:00,7965.18,7965.91,-0.09876113720254799,TP2_CP
RANGE,LONG,28284,28286,2019-10-20 15:20:00+00:00,2019-10-20 15:25:00+00:00,7997.81,8000.0,0.2251894940948,TP2_CP
RANGE,SHORT,29838,29840,2019-10-21 17:15:00+00:00,2019-10-21 17:20:00+00:00,8184.0,8186.35,-1.0,SL
