engine,side,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,r_mult,exit_reason
RANGE,LONG,3792,3793,2026-01-03 15:12:00+00:00,2026-01-03 15:13:00+00:00,89975.6,89975.6,0.0,TP2_CP
RANGE,LONG,3822,3824,2026-01-03 15:42:00+00:00,2026-01-03 15:44:00+00:00,89960.0,89960.0,0.0,TP2_CP
RANGE,LONG,3861,3862,2026-01-03 16:21:00+00:00,2026-01-03 16:22:00+00:00,89929.3,89929.3,-1.0,SL
RANGE,LONG,3864,3865,2026-01-03 16:24:00+00:00,2026-01-03 16:25:00+00:00,89929.3,90020.2,1.7578319244154088,VOL_HIGH_KILL
RANGE,LONG,3943,3944,2026-01-03 17:43:00+00:00,2026-01-03 17:44:00+00:00,90076.0,90076.0,0.0,TP2_CP
RANGE,LONG,4051,4052,2026-01-03 19:31:00+00:00,2026-01-03 19:32:00+00:00,90092.3,90092.3,0.0,TP2_CP
RANGE,LONG,4054,4056,2026-01-03 19:34:00+00:00,2026-01-03 19:36:00+00:00,90092.3,90112.1,1.1390532544378302,TP2_CP
RANGE,LONG,4067,4068,2026-01-03 19:47:00+00:00,2026-01-03 19:48:00+00:00,90075.2,90075.2,0.0,TP2_CP
RANGE,LONG,4107,4108,2026-01-03 20:27:00+00:00,2026-01-03 20:28:00+00:00,90089.4,90089.4,-1.0,SL
RANGE,SHORT,8259,8260,2026-01-06 17:39:00+00:00,2026-01-06 17:40:00+00:00,92540.9,92199.4,2.3567977915804947,TP2_CP
RANGE,SHORT,8329,8330,2026-01-06 18:49:00+00:00,2026-01-06 18:50:00+00:00,92104.0,92078.2,0.16514415823116832,VOL_HIGH_KILL
RANGE,SHORT,9808,9810,2026-01-07 19:28:00+00:00,2026-01-07 19:30:00+00:00,90872.7,90988.1,-1.0,SL
RANGE,SHORT,9879,9880,2026-01-07 20:39:00+00:00,2026-01-07 20:40:00+00:00,91066.5,90996.2,0.5654372055613127,VOL_HIGH_KILL
RANGE,SHORT,9887,9891,2026-01-07 20:47:00+00:00,2026-01-07 20:51:00+00:00,91043.4,91053.2,-0.08434460796972815,TP2_CP
RANGE,LONG,11302,11303,2026-01-08 20:22:00+00:00,2026-01-08 20:23:00+00:00,90582.3,90582.3,0.0,TP2_CP
RANGE,SHORT,13939,13942,2026-01-10 16:19:00+00:00,2026-01-10 16:22:00+00:00,90581.1,90600.0,-0.7511497189572749,TP2_CP
RANGE,SHORT,13962,13963,2026-01-10 16:42:00+00:00,2026-01-10 16:43:00+00:00,90661.8,90661.8,0.0,TP2_CP
RANGE,LONG,15468,15469,2026-01-11 17:48:00+00:00,2026-01-11 17:49:00+00:00,90928.3,90928.3,0.0,TP2_CP
RANGE,LONG,15493,15495,2026-01-11 18:13:00+00:00,2026-01-11 18:15:00+00:00,90850.0,90865.9,0.6550141242934961,TP2_CP
RANGE,LONG,18433,18435,2026-01-13 19:13:00+00:00,2026-01-13 19:15:00+00:00,93500.7,93664.9,1.5044305702803054,TP2_CP
RANGE,LONG,19946,19949,2026-01-14 20:26:00+00:00,2026-01-14 20:29:00+00:00,97296.9,97296.9,0.0,TP2_CP
RANGE,SHORT,22606,22607,2026-01-16 16:46:00+00:00,2026-01-16 16:47:00+00:00,94914.2,94914.2,0.0,TP2_CP
RANGE,SHORT,22662,22667,2026-01-16 17:42:00+00:00,2026-01-16 17:47:00+00:00,94892.8,94827.4,0.6975681111721705,TP2_CP
RANGE,SHORT,22698,22699,2026-01-16 18:18:00+00:00,2026-01-16 18:19:00+00:00,95089.9,95089.9,0.0,TP2_CP
RANGE,SHORT,22723,22724,2026-01-16 18:43:00+00:00,2026-01-16 18:44:00+00:00,95098.6,95098.6,0.0,TP2_CP
RANGE,LONG,23961,23964,2026-01-17 15:21:00+00:00,2026-01-17 15:24:00+00:00,95420.0,95420.0,0.0,TP2_CP
RANGE,LONG,24017,24020,2026-01-17 16:17:00+00:00,2026-01-17 16:20:00+00:00,95399.0,95278.8,-1.0,SL
