cfg,tp_cp,tp1_fraction,mr_sl_atr,vol_filter_high,mr_time_stop,priority,mr_d,mr_rr,mr_cp_low,mr_cp_high,mr_mean_dist,mr_atr_pctl_max,trend_enabled,trend_d,trend_p,trend_rr,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00120_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.35_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.35,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,52,0,52,0.2692307692307692,-0.00947231767022564,0.9671128498889221,-0.49256051885173324,0.0,0.0,-0.00947231767022564,0.9671128498889221,-1.0,0.0,1.0949047401112637,0.2692307692307692,0.6730769230769231,0.057692307692307696,0.0
C00147_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.35_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.35,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,52,0,52,0.2692307692307692,-0.00947231767022564,0.9671128498889221,-0.49256051885173324,0.0,0.0,-0.00947231767022564,0.9671128498889221,-1.0,0.0,1.0949047401112637,0.2692307692307692,0.6730769230769231,0.057692307692307696,0.0
C00066_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.35_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.35,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,52,0,52,0.2692307692307692,-0.00952659669932859,0.9669243973221756,-0.49538302836508663,0.0,0.0,-0.00952659669932859,0.9669243973221756,-1.0,0.0,1.0949047401112637,0.2692307692307692,0.6730769230769231,0.057692307692307696,0.0
C00093_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.35_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.35,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,52,0,52,0.2692307692307692,-0.00952659669932859,0.9669243973221756,-0.49538302836508663,0.0,0.0,-0.00952659669932859,0.9669243973221756,-1.0,0.0,1.0949047401112637,0.2692307692307692,0.6730769230769231,0.057692307692307696,0.0
C00012_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.35_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.35,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,52,0,52,0.2692307692307692,-0.009580875728431547,0.9667359447554291,-0.49820553787844046,0.0,0.0,-0.009580875728431547,0.9667359447554291,-1.0,0.0,1.0949047401112637,0.2692307692307692,0.6730769230769231,0.057692307692307696,0.0
C00039_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.35_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.35,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,52,0,52,0.2692307692307692,-0.009580875728431547,0.9667359447554291,-0.49820553787844046,0.0,0.0,-0.009580875728431547,0.9667359447554291,-1.0,0.0,1.0949047401112637,0.2692307692307692,0.6730769230769231,0.057692307692307696,0.0
C00119_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.35_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.35,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,64,0,64,0.265625,-0.008937180551943785,0.9666700208527792,-0.5719795553244023,0.0,0.0,-0.008937180551943785,0.9666700208527792,-1.0,0.0,1.0066077114581335,0.25,0.6875,0.0625,0.0
C00146_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.35_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.35,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,64,0,64,0.265625,-0.008937180551943785,0.9666700208527792,-0.5719795553244023,0.0,0.0,-0.008937180551943785,0.9666700208527792,-1.0,0.0,1.0066077114581335,0.25,0.6875,0.0625,0.0
C00065_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.35_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.35,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,64,0,64,0.265625,-0.008981282263089932,0.9665055496188912,-0.5748020648377556,0.0,0.0,-0.008981282263089932,0.9665055496188912,-1.0,0.0,1.0066077114581335,0.25,0.6875,0.0625,0.0
C00092_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.35_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.35,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,64,0,64,0.265625,-0.008981282263089932,0.9665055496188912,-0.5748020648377556,0.0,0.0,-0.008981282263089932,0.9665055496188912,-1.0,0.0,1.0066077114581335,0.25,0.6875,0.0625,0.0
