cfg,tp_cp,mr_sl_atr,vol_filter_high,mr_time_stop,priority,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C29_tp0.55_sl0.8_high1_t20_TREND_FIRST,0.55,0.8,True,20,TREND_FIRST,1429,411,1018,0.15605318404478657,-0.39039432813709424,0.4639414332846782,-557.8734949079077,-0.48905109489051096,0.41055718475073316,-0.3505633545264318,0.4899585229386777,-1.0,-1.0,2.0,0.6827111984282908,0.30353634577603145,0.0137524557956778,0.0
C30_tp0.55_sl0.8_high1_t20_MR_FIRST,0.55,0.8,True,20,MR_FIRST,1429,411,1018,0.15605318404478657,-0.39039432813709424,0.4639414332846782,-557.8734949079077,-0.48905109489051096,0.41055718475073316,-0.3505633545264318,0.4899585229386777,-1.0,-1.0,2.0,0.6827111984282908,0.30353634577603145,0.0137524557956778,0.0
C31_tp0.55_sl0.8_high1_t30_TREND_FIRST,0.55,0.8,True,30,TREND_FIRST,1429,411,1018,0.15605318404478657,-0.39039432813709424,0.4639414332846782,-557.8734949079077,-0.48905109489051096,0.41055718475073316,-0.3505633545264318,0.4899585229386777,-1.0,-1.0,2.0,0.6827111984282908,0.30353634577603145,0.0137524557956778,0.0
C32_tp0.55_sl0.8_high1_t30_MR_FIRST,0.55,0.8,True,30,MR_FIRST,1429,411,1018,0.15605318404478657,-0.39039432813709424,0.4639414332846782,-557.8734949079077,-0.48905109489051096,0.41055718475073316,-0.3505633545264318,0.4899585229386777,-1.0,-1.0,2.0,0.6827111984282908,0.30353634577603145,0.0137524557956778,0.0
C05_tp0.50_sl0.8_high1_t20_TREND_FIRST,0.5,0.8,True,20,TREND_FIRST,1432,411,1021,0.1543296089385475,-0.3901399848012208,0.4626496873069187,-558.6804582353482,-0.48905109489051096,0.41055718475073316,-0.35032366134705994,0.48807357354412545,-1.0,-1.0,2.0,0.6797257590597453,0.30754162585700295,0.012732615083251714,0.0
C06_tp0.50_sl0.8_high1_t20_MR_FIRST,0.5,0.8,True,20,MR_FIRST,1432,411,1021,0.1543296089385475,-0.3901399848012208,0.4626496873069187,-558.6804582353482,-0.48905109489051096,0.41055718475073316,-0.35032366134705994,0.48807357354412545,-1.0,-1.0,2.0,0.6797257590597453,0.30754162585700295,0.012732615083251714,0.0
C07_tp0.50_sl0.8_high1_t30_TREND_FIRST,0.5,0.8,True,30,TREND_FIRST,1432,411,1021,0.1543296089385475,-0.3901399848012208,0.4626496873069187,-558.6804582353482,-0.48905109489051096,0.41055718475073316,-0.35032366134705994,0.48807357354412545,-1.0,-1.0,2.0,0.6797257590597453,0.30754162585700295,0.012732615083251714,0.0
C08_tp0.50_sl0.8_high1_t30_MR_FIRST,0.5,0.8,True,30,MR_FIRST,1432,411,1021,0.1543296089385475,-0.3901399848012208,0.4626496873069187,-558.6804582353482,-0.48905109489051096,0.41055718475073316,-0.35032366134705994,0.48807357354412545,-1.0,-1.0,2.0,0.6797257590597453,0.30754162585700295,0.012732615083251714,0.0
C45_tp0.55_sl1.2_high1_t20_TREND_FIRST,0.55,1.2,True,20,TREND_FIRST,1427,411,1016,0.17869656622284513,-0.3522349475645351,0.45051293233833123,-502.63927017459156,-0.48905109489051096,0.41055718475073316,-0.29688904544743255,0.47426035521626203,-1.0,-1.0,1.617582315299533,0.547244094488189,0.43208661417322836,0.02066929133858268,0.0
C46_tp0.55_sl1.2_high1_t20_MR_FIRST,0.55,1.2,True,20,MR_FIRST,1427,411,1016,0.17869656622284513,-0.3522349475645351,0.45051293233833123,-502.63927017459156,-0.48905109489051096,0.41055718475073316,-0.29688904544743255,0.47426035521626203,-1.0,-1.0,1.617582315299533,0.547244094488189,0.43208661417322836,0.02066929133858268,0.0
C47_tp0.55_sl1.2_high1_t30_TREND_FIRST,0.55,1.2,True,30,TREND_FIRST,1427,411,1016,0.17869656622284513,-0.3522349475645351,0.45051293233833123,-502.63927017459156,-0.48905109489051096,0.41055718475073316,-0.29688904544743255,0.47426035521626203,-1.0,-1.0,1.617582315299533,0.547244094488189,0.43208661417322836,0.02066929133858268,0.0
C48_tp0.55_sl1.2_high1_t30_MR_FIRST,0.55,1.2,True,30,MR_FIRST,1427,411,1016,0.17869656622284513,-0.3522349475645351,0.45051293233833123,-502.63927017459156,-0.48905109489051096,0.41055718475073316,-0.29688904544743255,0.47426035521626203,-1.0,-1.0,1.617582315299533,0.547244094488189,0.43208661417322836,0.02066929133858268,0.0
C21_tp0.50_sl1.2_high1_t20_TREND_FIRST,0.5,1.2,True,20,TREND_FIRST,1431,411,1020,0.1761006289308176,-0.35042869426213746,0.44999473808513135,-501.4634614891187,-0.48905109489051096,0.41055718475073316,-0.2945720210677633,0.4735573662528488,-1.0,-1.0,1.6174520069809781,0.542156862745098,0.43823529411764706,0.0196078431372549,0.0
C22_tp0.50_sl1.2_high1_t20_MR_FIRST,0.5,1.2,True,20,MR_FIRST,1431,411,1020,0.1761006289308176,-0.35042869426213746,0.44999473808513135,-501.4634614891187,-0.48905109489051096,0.41055718475073316,-0.2945720210677633,0.4735573662528488,-1.0,-1.0,1.6174520069809781,0.542156862745098,0.43823529411764706,0.0196078431372549,0.0
C23_tp0.50_sl1.2_high1_t30_TREND_FIRST,0.5,1.2,True,30,TREND_FIRST,1431,411,1020,0.1761006289308176,-0.35042869426213746,0.44999473808513135,-501.4634614891187,-0.48905109489051096,0.41055718475073316,-0.2945720210677633,0.4735573662528488,-1.0,-1.0,1.6174520069809781,0.542156862745098,0.43823529411764706,0.0196078431372549,0.0
C24_tp0.50_sl1.2_high1_t30_MR_FIRST,0.5,1.2,True,30,MR_FIRST,1431,411,1020,0.1761006289308176,-0.35042869426213746,0.44999473808513135,-501.4634614891187,-0.48905109489051096,0.41055718475073316,-0.2945720210677633,0.4735573662528488,-1.0,-1.0,1.6174520069809781,0.542156862745098,0.43823529411764706,0.0196078431372549,0.0
