hour_utc,n,mean_h4,p05_h4,win_h4
0,3,-0.0005436041654166927,-0.0026502493416874716,0.3333333333333333
1,1,0.0,-0.0,0.0
2,1,0.0008471516719723571,0.0008471516719723571,1.0
3,4,-7.064591173747137e-05,-0.00024019609990740264,0.0
4,2,0.001392790057821558,0.0006690052276612568,1.0
5,6,0.001412946743958458,-0.0011365061110847063,0.5
6,6,0.0,0.0,0.0
7,3,0.0,0.0,0.0
8,1,0.0,-0.0,0.0
9,4,-0.0011549377062473054,-0.0017513114276930253,0.0
10,2,-0.0005700608665517026,-0.0028210326690715605,0.5
11,4,0.0005619375455400144,0.0,0.5
12,4,-0.0009057106426951234,-0.0016774764914239682,0.0
13,3,0.00026668289953879487,0.0,0.3333333333333333
14,4,-0.004799343420536978,-0.009667788587250491,0.0
16,1,0.0,0.0,0.0
17,3,0.0011430972036711544,0.0,0.3333333333333333
18,1,0.0017909089110086374,0.0017909089110086374,1.0
19,3,-0.00026834919370318416,-0.003824310843778089,0.3333333333333333
20,2,0.004586228072085419,0.003906101819611285,1.0
21,2,-0.00044859994828949645,-0.0008523399017500433,0.0
22,6,-0.0015773578919303273,-0.0032080558472074583,0.0
23,4,-0.0005811584476705656,-0.002008562090500299,0.25
