sig_i,entry_i,exit_i,sig_t,entry_t,exit_t,hour_utc,date_utc,dir_state,dir_score,range_pctl,rp_bucket,entry,sl,tp,exit,reason,risk,pnl,R,MAE_R,MFE_R
221,222,224,2026-01-05 07:30:00+00:00,2026-01-05 07:45:00+00:00,2026-01-05 08:15:00+00:00,7,2026-01-05,BEAR,-0.4619572800949796,0.0798611111111111,"[0.06,0.08)",92511.3,92675.12142857144,92224.61249999999,92675.12142857144,SL,163.8214285714348,-163.8214285714348,-1.0,1.4320470896009385,0.13246130368430245
223,224,227,2026-01-05 08:00:00+00:00,2026-01-05 08:15:00+00:00,2026-01-05 09:00:00+00:00,8,2026-01-05,BEAR,-0.40651721799313373,0.006944444444444444,"[0.00,0.02)",92612.6,92763.52857142857,92348.47500000002,92348.47500000002,TP,150.9285714285652,264.12499999998545,1.7499999999999758,0.8831992427827327,2.124183625177599
295,296,303,2026-01-06 02:00:00+00:00,2026-01-06 02:15:00+00:00,2026-01-06 04:00:00+00:00,2,2026-01-06,BEAR,-0.3513865819503185,0.041666666666666664,"[0.04,0.06)",93708.5,93921.37857142858,93335.9625,93921.37857142858,SL,212.87857142857683,-212.87857142857683,-1.0,1.1410260712008296,1.1339798006911495
296,297,301,2026-01-06 02:15:00+00:00,2026-01-06 02:30:00+00:00,2026-01-06 03:30:00+00:00,2,2026-01-06,BEAR,-0.4440301043414296,0.06944444444444445,"[0.06,0.08)",93650.0,93863.52142857143,93276.3375,93863.52142857143,SL,213.5214285714319,-213.5214285714319,-1.0,1.1741210316796256,0.8565884989796536
303,304,309,2026-01-06 04:00:00+00:00,2026-01-06 04:15:00+00:00,2026-01-06 05:30:00+00:00,4,2026-01-06,BEAR,-0.40233278894717167,0.04513888888888889,"[0.04,0.06)",93915.8,94101.08571428571,93591.55000000002,93591.55000000002,TP,185.28571428571013,324.24999999998545,1.7499999999999607,0.27309175019271154,1.96129529683895
320,321,323,2026-01-06 08:15:00+00:00,2026-01-06 08:30:00+00:00,2026-01-06 09:00:00+00:00,8,2026-01-06,BEAR,-0.7592004730747013,0.08680555555555555,"[0.08,0.10)",93292.9,93479.56428571428,92966.23749999999,93479.56428571428,SL,186.66428571428696,-186.66428571428696,-1.0,1.0548348830980385,0.8705468181992059
325,326,327,2026-01-06 09:30:00+00:00,2026-01-06 09:45:00+00:00,2026-01-06 10:00:00+00:00,9,2026-01-06,BEAR,-0.7519887812201448,0.03125,"[0.02,0.04)",93416.5,93611.10714285714,93075.9375,93611.10714285714,SL,194.60714285714494,-194.60714285714494,-1.0,1.0179482473848602,0.2923839236556836
329,330,331,2026-01-06 10:30:00+00:00,2026-01-06 10:45:00+00:00,2026-01-06 11:00:00+00:00,10,2026-01-06,BEAR,-0.4349742295614366,0.07291666666666667,"[0.06,0.08)",93547.6,93723.04285714286,93240.57500000001,93723.04285714286,SL,175.44285714285797,-175.44285714285797,-1.0,1.2425698233042852,0.4867681784871413
330,331,331,2026-01-06 10:45:00+00:00,2026-01-06 11:00:00+00:00,2026-01-06 11:00:00+00:00,10,2026-01-06,BEAR,-0.4534716135373892,0.013888888888888888,"[0.00,0.02)",93536.4,93712.9857142857,93227.375,93712.9857142857,SL,176.58571428571304,-176.58571428571304,-1.0,1.2979532400291989,0.033411536283439486
396,397,406,2026-01-07 03:15:00+00:00,2026-01-07 03:30:00+00:00,2026-01-07 05:45:00+00:00,3,2026-01-07,BEAR,-0.44065237325239887,0.05555555555555555,"[0.04,0.06)",92965.5,93244.57857142857,92477.11249999999,92477.11249999999,TP,279.0785714285739,488.38750000001164,1.750000000000026,0.08384735481557053,1.8188426198459262
401,402,417,2026-01-07 04:30:00+00:00,2026-01-07 04:45:00+00:00,2026-01-07 08:30:00+00:00,4,2026-01-07,BEAR,-0.6128209958582369,0.034722222222222224,"[0.02,0.04)",92736.0,92943.84285714285,92372.27500000001,92735.6,TIME,207.84285714285215,0.39999999999417923,0.0019245308955662395,0.9237748298852376,1.338030105161927
403,404,415,2026-01-07 05:00:00+00:00,2026-01-07 05:15:00+00:00,2026-01-07 08:00:00+00:00,5,2026-01-07,BEAR,-0.44582281662775086,0.03125,"[0.02,0.04)",92710.2,92908.87142857142,92362.525,92908.87142857142,SL,198.67142857142608,-198.67142857142608,-1.0,1.0318544617818495,1.26993600345153
435,436,436,2026-01-07 13:00:00+00:00,2026-01-07 13:15:00+00:00,2026-01-07 13:15:00+00:00,13,2026-01-07,BEAR,-0.8688326890016034,0.0798611111111111,"[0.06,0.08)",91855.1,92043.2642857143,91525.8125,92043.2642857143,SL,188.16428571428696,-188.16428571428696,-1.0,2.0949777929620477,0.11532475420421401
469,470,473,2026-01-07 21:30:00+00:00,2026-01-07 21:45:00+00:00,2026-01-07 22:30:00+00:00,21,2026-01-07,BEAR,-0.51825474936632,0.003472222222222222,"[0.00,0.02)",91083.2,91333.64285714286,90644.92499999999,91333.64285714286,SL,250.44285714285797,-250.44285714285797,-1.0,1.1124294107581052,0.9622953625007098
473,474,474,2026-01-07 22:30:00+00:00,2026-01-07 22:45:00+00:00,2026-01-07 22:45:00+00:00,22,2026-01-07,BEAR,-0.4542845058812598,0.0798611111111111,"[0.06,0.08)",91015.2,91234.79285714285,90630.9125,91234.79285714285,SL,219.59285714285215,-219.59285714285215,-1.0,1.0533129492893063,0.3811599388478632
503,504,506,2026-01-08 06:00:00+00:00,2026-01-08 06:15:00+00:00,2026-01-08 06:45:00+00:00,6,2026-01-08,BEAR,-0.6223218115772918,0.03819444444444445,"[0.02,0.04)",90491.8,90725.19285714286,90083.3625,90083.3625,TP,233.39285714285506,408.4375,1.7500000000000155,0.00042846212697101037,2.842417750573896
514,515,530,2026-01-08 08:45:00+00:00,2026-01-08 09:00:00+00:00,2026-01-08 12:45:00+00:00,8,2026-01-08,BEAR,-0.6132124984006172,0.0625,"[0.06,0.08)",90200.0,90493.21428571429,89686.875,89953.8,TIME,293.2142857142899,246.1999999999971,0.8396589524969331,0.9071863580998654,1.59064555420215
527,528,536,2026-01-08 12:00:00+00:00,2026-01-08 12:15:00+00:00,2026-01-08 14:15:00+00:00,12,2026-01-08,BEAR,-0.36755933387234574,0.0763888888888889,"[0.06,0.08)",89852.7,90119.15714285713,89386.40000000001,89386.40000000001,TP,266.4571428571362,466.29999999998836,1.75,0.8263993137465249,2.074254771606303
531,532,536,2026-01-08 13:00:00+00:00,2026-01-08 13:15:00+00:00,2026-01-08 14:15:00+00:00,13,2026-01-08,BEAR,-0.5481507790963622,0.04861111111111111,"[0.04,0.06)",89942.4,90190.95,89507.43749999999,89507.43749999999,TP,248.5500000000029,434.96250000000873,1.7500000000000147,0.5250452625226251,2.5845906256285924
532,533,536,2026-01-08 13:15:00+00:00,2026-01-08 13:30:00+00:00,2026-01-08 14:15:00+00:00,13,2026-01-08,BEAR,-0.5445039488516098,0.06944444444444445,"[0.06,0.08)",90038.1,90280.33571428571,89614.18750000001,89614.18750000001,TP,242.23571428570722,423.91249999999127,1.750000000000015,0.12260784949723451,3.047032111579743
533,534,536,2026-01-08 13:30:00+00:00,2026-01-08 13:45:00+00:00,2026-01-08 14:15:00+00:00,13,2026-01-08,BEAR,-0.4343024307264259,0.0798611111111111,"[0.06,0.08)",89990.6,90220.03571428572,89589.0875,89589.0875,TP,229.43571428571886,401.51250000001164,1.7500000000000158,0.15690669655365336,3.009993462220942
618,619,629,2026-01-09 10:45:00+00:00,2026-01-09 11:00:00+00:00,2026-01-09 13:30:00+00:00,10,2026-01-09,BEAR,-0.8530604357497426,0.03125,"[0.02,0.04)",90443.5,90701.87142857142,89991.35,90701.87142857142,SL,258.37142857142317,-258.37142857142317,-1.0,2.153875926130754,1.0720999668251912
622,623,627,2026-01-09 11:45:00+00:00,2026-01-09 12:00:00+00:00,2026-01-09 13:00:00+00:00,11,2026-01-09,BEAR,-0.7164177508125117,0.04861111111111111,"[0.04,0.06)",90398.1,90619.73571428572,90010.2375,90619.73571428572,SL,221.63571428571595,-221.63571428571595,-1.0,1.0075091043861593,1.0449579425698725
